listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
5506,** Fort Hill Inn Private! Minutes to center!**,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-5506/original/5c9789c7-abff-49e4-b0de-1ba8b77a9597.jpeg,28,8229,Terry,225798437,Mindy,True,42.3284,-71.0958,2.0,1.0,1.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Private entrance,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,3,Strict,USD,60.0,0.0,140,4.81,4.9,5.0,4.9,4.9,4.6,4.8,38999.0,38999.0,166.8,166.8,0.559,0.624,98.6,98.6,110.1,110.1,204,38,161,365,3170.0,3170.0,145.3,145.3,0.222,0.308,33.2,33.2,46.0,46.0,20,25,70,90,Boston,United States,US,Northern America
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",Entire condo,entire_home,https://a0.muscache.com/im/pictures/38ac4797-e7a4-48d8-84a5-e1f724f4282b.jpg,16,8229,Terry,225798437,Mindy,True,42.328,-71.0939,4.0,,2.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,3,Strict,USD,80.0,0.0,143,4.81,4.8,4.9,4.9,4.9,4.5,4.7,52083.0,52083.0,191.5,191.5,0.685,0.74,132.2,132.2,142.7,142.7,250,27,115,365,6616.0,6616.0,176.3,176.3,0.378,0.41,67.3,67.3,73.0,73.0,34,7,56,90,Boston,United States,US,Northern America
10813,The Back Bay Nook  -Brownstone in Prestigious Area,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/20b5b9c9-e1f4-43a5-9689-1293a4507510.jpg,8,38997,Michelle,,,False,42.3506,-71.0879,2.0,,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water,Body soap,Bed linens,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Wine glasses,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Baking sheet,Freezer,Toaster,Bathtub",,False,32,Firm,USD,,,6,5.0,5.0,5.0,4.8,5.0,5.0,4.8,5818.0,5818.0,143.1,143.1,0.118,0.394,15.9,15.9,53.4,53.4,43,256,322,365,0.0,0.0,152.5,152.5,0.0,0.0,0.0,0.0,0.0,0.0,0,89,90,90,Boston,United States,US,Northern America
40601,Private room & bath - Jamaica Plain,Private room in home,private_room,https://a0.muscache.com/im/pictures/508992/92c28113_original.jpg,19,174986,Robert,,,True,42.3135,-71.1108,,,1.0,0.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Record player,Books and reading material,Air conditioning,Indoor fireplace,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,29,Moderate,USD,50.0,25.0,105,4.98,4.9,5.0,5.0,4.9,4.9,4.9,17752.0,17752.0,101.4,101.4,0.466,0.677,47.3,47.3,68.7,68.7,170,114,195,365,4312.0,4312.0,95.0,95.0,0.478,0.614,46.2,46.2,59.5,59.5,43,20,47,90,Boston,United States,US,Northern America
45987,Garden Studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7a7d6642-f493-408d-a92a-8e301e048c60.jpg,32,205107,Atef,,,True,42.3742,-71.0608,3.0,1.0,1.0,1.0,True,"Wifi,Air conditioning,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Coffee,Waterfront,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials",,False,29,Firm,USD,,,145,4.67,4.7,4.8,4.8,4.7,4.8,4.5,23308.0,23308.0,120.5,120.5,0.51,0.616,63.9,63.9,77.2,77.2,186,63,179,365,5243.0,5243.0,117.4,117.4,0.467,0.0,58.3,58.3,0.0,0.0,42,0,48,90,Boston,United States,US,Northern America
47521,Bright Furnished Room with Separate Entrance,Private room in home,private_room,https://a0.muscache.com/im/pictures/3122067/eb1ac3c0_original.jpg,10,119019,Hermina,,,False,42.2987,-71.0595,2.0,,1.0,1.0,True,"Smoke alarm,Wifi,Carbon monoxide alarm,First aid kit,Kitchen,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Hot water,Iron,Extra pillows and blankets,Heating",False,False,1,Strict,USD,45.0,20.0,334,4.45,4.5,4.7,4.4,4.7,4.3,4.5,2689.0,2689.0,77.9,77.9,0.077,0.101,6.9,6.9,9.1,9.1,28,88,337,365,243.0,243.0,60.8,60.8,0.033,0.0,2.2,2.2,0.0,0.0,3,0,87,90,Boston,United States,US,Northern America
77691,Private room in Victorian house,Private room in home,private_room,https://a0.muscache.com/im/pictures/58380301/427bf360_original.jpg,16,119019,Hermina,,,True,42.2987,-71.0595,,,1.0,0.0,True,"Hair dryer,Shampoo,Hot water,Dryer,Essentials,Hangers,Iron,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Hot water kettle,Coffee maker,Patio or balcony,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1,Moderate,USD,,,304,4.41,4.5,4.6,4.4,4.6,4.2,4.4,2891.0,2891.0,84.5,84.5,0.079,0.107,7.9,7.9,10.6,10.6,29,93,336,365,0.0,0.0,59.8,59.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Boston,United States,US,Northern America
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTYzOTQx/original/e4c3586c-9c1c-4230-9877-4180d183c741.jpeg,39,8229,Terry,225798437,Mindy,True,42.3281,-71.0942,6.0,2.0,3.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,3,Strict,USD,95.0,0.0,330,4.72,4.8,4.9,4.8,4.9,4.5,4.7,84823.0,84823.0,272.7,272.7,0.764,0.771,212.6,212.6,214.4,214.4,279,3,86,365,13771.0,13771.0,256.8,256.8,0.533,0.552,138.2,138.2,143.0,143.0,48,3,42,90,Boston,United States,US,Northern America
197727,"Great Boston neighborhood , Jamaica Plain",Private room in condo,private_room,https://a0.muscache.com/im/pictures/1cf6fbfc-80e8-443e-b813-0db3e828d3ff.jpg,13,964356,Jill,,,False,42.3133,-71.1206,,,1.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Exercise equipment,Books and reading material,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Lake access,Patio or balcony,Backyard,Outdoor furniture,Hammock,BBQ grill,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,30,Moderate,USD,,,68,4.97,5.0,5.0,5.0,5.0,4.9,4.9,18879.0,18879.0,68.8,68.8,0.745,0.907,51.7,51.7,62.9,62.9,272,65,93,365,2524.0,2524.0,67.9,67.9,0.4,0.72,28.0,28.0,50.5,50.5,36,40,54,90,Boston,United States,US,Northern America
197972,Serene Studio in a Perfect Location,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTk3OTcy/original/61b8e62a-b203-4cee-9902-244d937fe205.jpeg,28,965697,Kristina,,,True,42.3153,-71.1103,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,3,Firm,USD,75.0,0.0,579,4.89,4.9,5.0,4.9,5.0,4.9,4.8,47752.0,47752.0,158.4,158.4,0.759,0.776,121.0,121.0,123.7,123.7,277,8,88,365,6753.0,6753.0,156.2,156.2,0.433,0.476,69.2,69.2,76.0,76.0,39,8,51,90,Boston,United States,US,Northern America
