listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
10523,Downtown Calgary - Pets ok - steps from riverfront,Entire home,entire_home,https://a0.muscache.com/im/pictures/44180/53df8396_original.jpg,50,36650,Tai,,,True,51.0554,-114.0819,6.0,3.0,4.0,2.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Exercise equipment,Books and reading material,Outlet covers,Board games,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Bread maker,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Gym,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,CAD,108.0,0.0,42,4.95,5.0,5.0,4.9,5.0,5.0,4.9,33567.0,46387.0,134.9,187.6,0.636,0.68,86.3,119.4,92.4,127.8,232,24,133,365,5204.0,7147.0,139.8,192.0,0.378,0.0,54.2,74.5,0.0,0.0,34,0,56,90,Calgary,Canada,CA,Northern America
26494,"ArtsyCentral 4King BR Home w/AC Hot Tub, Fenced yd",Entire home,entire_home,https://a0.muscache.com/im/pictures/eebb73a1-20f5-4d42-a4e0-72822d9b0fa5.jpg,26,112317,Peter,23451148,Onalee,False,50.9836,-114.0751,8.0,4.0,4.0,3.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Game console,Crib,Board games,Air conditioning,Indoor fireplace,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Bikes,Free parking on premises,Free street parking,Hot tub,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,CAD,110.0,0.0,74,4.9,4.8,5.0,4.8,5.0,4.8,4.8,23805.0,33104.0,247.7,343.2,0.266,0.398,61.3,85.3,91.7,127.6,97,121,268,365,4847.0,6657.0,193.5,265.8,0.211,0.0,49.0,67.3,0.0,0.0,19,0,71,90,Calgary,Canada,CA,Northern America
302956,2 Bedroom Suite - Riverbend/Quarry Park S.E.,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-302956/original/2c61c128-9042-410b-8e0c-cd692e5f0ba9.jpeg,30,563111,Lulu,,,True,50.9658,-114.0119,4.0,2.0,3.0,1.0,True,"Pets allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Babysitter recommendations,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Strict,CAD,72.0,0.0,263,4.66,4.8,4.8,4.9,4.8,4.7,4.6,8054.0,11362.0,124.9,173.6,0.164,0.211,20.5,29.0,26.3,37.2,60,81,305,365,0.0,0.0,98.0,134.7,0.0,0.0,0.0,0.0,0.0,0.0,0,32,90,90,Calgary,Canada,CA,Northern America
501030,The Forest Room at Oz and Ends,Private room in home,private_room,https://a0.muscache.com/im/pictures/6426dea5-cbc2-4c19-aa2b-1fc03a83c8d4.jpg,20,2471999,Kelly,570233929,Emily,True,51.1057,-114.0656,,,1.0,0.0,True,"Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Indoor fireplace,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,31.0,Firm,CAD,,,15,4.57,4.3,4.8,4.3,4.9,4.6,4.4,3202.0,4503.0,24.2,33.7,0.367,0.971,8.8,12.3,23.2,32.6,134,227,231,365,1808.0,2485.0,23.7,32.5,0.844,0.962,20.1,27.6,22.9,31.5,76,11,14,90,Calgary,Canada,CA,Northern America
606066,TOTALLY PRIVATE INNER CITY W/PRIVATE ENTRANCE,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/032ab441-834c-4940-886f-a2fe707534c0.jpg,14,3001102,Tanya,,,True,51.0689,-114.042,2.0,,1.0,1.0,True,"Wifi,Hair dryer,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Stove,Coffee maker,Wine glasses,Toaster,Rice maker,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Firm,CAD,58.0,0.0,195,4.77,4.8,4.9,4.9,4.9,4.7,4.8,10839.0,15068.0,51.6,71.6,0.479,0.655,25.6,35.6,34.9,48.6,175,98,190,365,0.0,0.0,46.6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Calgary,Canada,CA,Northern America
710342,Cozy Boho Studio Suite,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/8d4aae63-6ca0-43fc-a7ba-372f9cf03209.jpg,32,2733806,Sylvie,6200465,Jerry,True,51.0636,-114.0726,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Climbing wall,Books and reading material,Outdoor playground,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Hockey rink,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Firm,CAD,47.0,0.0,108,4.91,5.0,4.9,4.9,5.0,4.9,4.8,21821.0,30230.0,97.6,135.4,0.499,0.534,54.8,75.9,58.6,81.2,182,24,183,365,2486.0,3418.0,80.2,110.1,0.3,0.409,24.5,33.6,33.4,45.9,27,24,63,90,Calgary,Canada,CA,Northern America
973964,Executive Condo - Exclusive Living,Entire condo,entire_home,https://a0.muscache.com/im/pictures/14559751/79de9d57_original.jpg,12,5326730,Una,,,False,51.0512,-114.0656,3.0,,1.0,1.0,False,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Hot water,Gym,Body soap,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Hot tub,Microwave,Coffee maker,Refrigerator,Piano,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Freezer,Bathtub",,False,1.0,Moderate,CAD,0.0,0.0,350,4.88,4.9,4.8,4.9,4.9,4.9,4.9,1538.0,2113.0,93.1,129.4,0.044,0.053,4.2,5.8,5.1,7.0,16,64,349,365,648.0,890.0,108.9,149.6,0.067,0.0,7.2,9.9,0.0,0.0,6,0,84,90,Calgary,Canada,CA,Northern America
1262918,1 Bedroom Suite Riverbend/Quarry Park,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1262918/original/56a1a5d0-31ab-45a3-b149-be853d73fbd1.jpeg,20,563111,Lulu,,,True,50.9658,-114.0119,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Board games,Free parking on premises,Hot water kettle,Portable fans,Resort access,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Babysitter recommendations,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",False,,2.0,Strict,CAD,56.0,0.0,9,5.0,5.0,4.9,5.0,5.0,4.9,4.9,1192.0,1638.0,84.7,118.5,0.03,0.0,3.0,4.1,0.0,0.0,11,0,354,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Calgary,Canada,CA,Northern America
1268655,Rooms in Quaint Cottage House,Private room in home,private_room,https://a0.muscache.com/im/pictures/83205472/6793ec58_original.jpg,6,6905597,Lorraine,,,True,51.036,-114.0399,,,1.0,0.0,True,"Wifi,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Exercise equipment,Books and reading material,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Blender,Dining table,Backyard,Fire pit,Outdoor furniture,Free parking on premises,Free street parking,Long term stays allowed",,False,1.0,Firm,CAD,0.0,54.0,35,4.91,4.9,5.0,4.9,5.0,4.9,4.9,4793.0,6590.0,85.7,119.3,0.148,0.176,13.1,18.1,15.7,21.5,54,59,311,365,0.0,0.0,86.5,118.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Calgary,Canada,CA,Northern America
1559608,Urban Cottage Oasis,Entire home,entire_home,https://a0.muscache.com/im/pictures/22755802/e6bb0997_original.jpg,20,8300376,Cathy,,,False,51.0574,-114.0817,4.0,2.0,2.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Free street parking,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,CAD,120.0,0.0,76,4.91,4.9,4.9,5.0,4.9,5.0,4.9,22152.0,30615.0,148.6,206.6,0.367,0.573,53.8,74.4,83.9,116.0,134,131,231,365,1398.0,1921.0,154.3,212.0,0.089,0.216,12.9,17.7,31.3,43.0,8,53,82,90,Calgary,Canada,CA,Northern America
