listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
2384,Hyde Park - Walk to University of Chicago,Private room in condo,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-2384/original/80684d38-6059-4bcf-8713-b99548da7de8.jpeg,37,2613,Rebecca,,,True,41.7879,-87.5878,,,1.0,0.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Piano,Books and reading material,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Blender,Dining table,Coffee,Free street parking,Paid parking off premises,Paid parking on premises,Long term stays allowed,Cleaning before checkout",,False,3.0,Strict,USD,0.0,0.0,262,4.99,5.0,5.0,5.0,5.0,5.0,4.9,14216,14216,129.2,129.2,0.299,0.311,38.9,38.9,40.6,40.6,109,15,256,365,429,429,135.6,135.6,0.033,0.04,4.8,4.8,5.7,5.7,3,15,87,90,Chicago,United States,US,Northern America
7126,Tiny Studio Apartment 94 Walk Score,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/51073/16c81c7e_original.jpg,7,17928,Sarah,,,True,41.9017,-87.6802,2.0,1.0,1.0,1.0,True,"Bathtub,Hair dryer,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Laundromat nearby,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,USD,0.0,0.0,611,4.73,4.8,4.9,4.6,4.9,4.9,4.8,24472,24472,108.5,108.5,0.608,0.0,67.0,67.0,0.0,0.0,222,0,143,365,4787,4787,104.6,104.6,0.511,0.0,53.2,53.2,0.0,0.0,46,0,44,90,Chicago,United States,US,Northern America
10945,The Biddle House (#1),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/58d1a420-a24b-485e-8342-7ddff83b2994.jpg,14,33004,Elizabeth,,,True,41.912,-87.6398,4.0,2.0,2.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Beach access,Lake access,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Firm,USD,145.0,0.0,143,4.76,4.9,4.9,4.8,4.9,5.0,4.7,53693,53693,196.3,196.3,0.641,0.75,132.8,132.8,155.4,155.4,234,53,131,365,10070,10070,194.8,194.8,0.478,0.0,94.2,94.2,0.0,0.0,43,0,47,90,Chicago,United States,US,Northern America
12140,Lincoln Park Guest House,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-12140/original/7ee8dd93-011e-439a-8eb8-d9f29cc3c54b.jpeg,13,46734,Shar And Robert,,,False,41.9236,-87.6495,3.0,1.0,1.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Free parking on premises,Room-darkening shades,Hot water,Body soap,Conditioner,Bed linens,Free street parking,Heating,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub",,False,2.0,Moderate,USD,0.0,0.0,20,4.95,4.7,5.0,5.0,5.0,5.0,4.7,8109,8109,374.9,374.9,0.058,0.066,22.2,22.2,25.4,25.4,21,46,344,365,4774,4774,394.0,394.0,0.133,0.179,53.0,53.0,71.3,71.3,12,23,78,90,Chicago,United States,US,Northern America
28749,Quirky Bucktown Loft w/ Parking No Parties,Entire loft,entire_home,https://a0.muscache.com/im/pictures/95884ff6-a672-48a9-8644-a1c847f532a0.jpg,23,27506,Lauri,,,False,41.9202,-87.6796,7.0,3.0,3.0,2.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,Board games,Air conditioning,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Smoking allowed,Cleaning before checkout",,False,2.0,Strict,USD,140.0,35.0,276,4.84,4.9,4.9,4.8,4.9,4.9,4.7,58336,58336,240.0,240.0,0.548,0.0,137.6,137.6,0.0,0.0,200,0,165,365,10950,10950,228.5,228.5,0.433,0.0,107.7,107.7,0.0,0.0,39,0,51,90,Chicago,United States,US,Northern America
71930,"Rest, Relax and Explore",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/e881bea8-a003-4f86-9b1a-2012cf873899.jpg,30,334241,Michael And Veronica,41333855,Veronica,True,41.8961,-87.6793,,,1.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Baking sheet,Barbecue utensils,Coffee,Lake access,Laundromat nearby,Patio or balcony,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Paid parking off premises,Breakfast,Long term stays allowed",,False,3.0,Firm,USD,60.0,40.0,150,4.89,4.9,5.0,4.8,5.0,4.8,4.8,20573,20573,104.3,104.3,0.485,0.497,51.6,51.6,52.9,52.9,177,9,188,365,1874,1874,101.5,101.5,0.189,0.0,18.2,18.2,0.0,0.0,17,0,73,90,Chicago,United States,US,Northern America
94450,Comfy Garden Suite in Andersonville,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-94450/original/8883135c-e3d3-40b7-8735-b6a52a7e23e0.jpeg,23,504470,Mark,,,False,41.9796,-87.6651,1.0,1.0,1.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Portable fans,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster",,False,3.0,Firm,USD,145.0,0.0,43,4.91,5.0,5.0,4.9,5.0,4.9,4.8,24212,24212,145.9,145.9,0.384,0.639,56.0,56.0,93.3,93.3,140,146,225,365,1705,1705,174.0,174.0,0.089,0.333,15.7,15.7,59.0,59.0,8,66,82,90,Chicago,United States,US,Northern America
145659,Trendy Roscoe Village 3BR/2BR walk to shops,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/65ff405d-3f96-470b-99c8-6762e97c6209.jpg,35,683529,Joe,,,True,41.9434,-87.6812,8.0,3.0,3.0,2.0,False,"High chair,TV,Cable TV,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Hot water,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",False,False,32.0,Strict,USD,,,77,4.78,4.8,4.8,4.9,4.6,4.9,4.7,7113,7113,284.8,284.8,0.066,0.067,19.5,19.5,19.8,19.8,24,6,341,365,0,0,265.2,265.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Chicago,United States,US,Northern America
189821,"Best in Chicago, private, amazing garden space",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTg5ODIx/original/0e14ae6c-51a1-48c3-8bf5-d29cfda2e342.jpeg,51,899757,Meighan,,,True,41.9292,-87.7022,5.0,2.0,3.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Exercise equipment,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Window guards,Outlet covers,Board games,Table corner guards,Babysitter recommendations,Air conditioning,Ceiling fan,Portable fans,Heating,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Paid parking on premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Cleaning before checkout",,False,3.0,Firm,USD,60.0,0.0,729,4.95,5.0,5.0,4.9,5.0,4.9,4.9,67410,67410,267.3,267.3,0.658,0.0,174.8,174.8,0.0,0.0,240,0,125,365,12029,12029,272.3,272.3,0.478,0.0,126.3,126.3,0.0,0.0,43,0,47,90,Chicago,United States,US,Northern America
207218,Historic Pullman Artist Flat - Monthly Rental,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/102976353/ff2c2d3b_original.jpg,46,1019125,Jb,,,True,41.6884,-87.6071,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Private entrance,Backyard,BBQ grill,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,32.0,Strict,USD,,,322,4.9,4.9,5.0,4.8,5.0,4.7,4.9,11472,11472,91.0,91.0,0.367,0.558,31.4,31.4,47.8,47.8,134,125,231,365,3942,3942,74.5,74.5,0.567,0.729,43.8,43.8,56.3,56.3,51,20,39,90,Chicago,United States,US,Northern America
