listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
1154424,"Uptown, Charming Studio 1B,Fast Free WiFi Parking",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/aed270ea-765d-412c-b4f2-534670f1ade2.jpg,33,6063232,Joan,,,False,32.8187,-96.7902,2.0,,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Portable fans,Hot water,Mini fridge,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Coffee maker,Dishes and silverware,Heating,Cooking basics,Clothing storage,Wine glasses,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Outdoor dining area,Toaster,Bathtub",True,,3.0,Moderate,USD,0.0,0.0,97,4.61,4.7,4.7,4.8,4.6,4.9,4.7,1576.0,1576.0,104.4,104.4,0.044,0.072,4.3,4.3,7.1,7.1,16,143,349,365,0.0,0.0,104.5,104.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dallas,United States,US,Northern America
1479800,SMU/Trendy Greenville/with Private Bath,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1479800/original/88bcd82d-714f-48b0-828e-7b8c8da61999.jpeg,21,3809024,Holly,,,True,32.831,-96.7638,,,1.0,0.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Blender,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,2.0,Moderate,USD,30.0,25.0,103,4.93,5.0,4.9,4.9,4.9,5.0,4.8,1787.0,1787.0,104.5,104.5,0.041,0.069,4.8,4.8,8.1,8.1,15,147,350,365,1787.0,1787.0,110.0,110.0,0.167,0.0,19.5,19.5,0.0,0.0,15,0,75,90,Dallas,United States,US,Northern America
1507428,"4323 McKinney Ave studio 8, WIFI, Parking",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/008eb142-bcff-41d8-9ea8-95fbb2913517.jpg,36,6063232,Joan,"139905841,263571079","Henry,Henry",False,32.8196,-96.79,1.0,,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,Ethernet connection,TV,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Coffee maker,Wine glasses,Toaster,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Moderate,USD,,,74,4.61,4.7,4.9,4.7,4.8,4.9,4.5,5444.0,5444.0,87.7,87.7,0.164,0.364,14.9,14.9,33.0,33.0,60,200,305,365,0.0,0.0,74.2,74.2,0.0,0.0,0.0,0.0,0.0,0.0,0,78,90,90,Dallas,United States,US,Northern America
1826550,Private Room in Canton Townhouse,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1826550/original/b4d0781b-96dc-41e6-8183-4dd0c9f5f292.jpeg,16,9557710,Jeff,11700809,Aaron,True,32.7811,-96.7917,,,1.0,0.0,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Piano,Sound system,Books and reading material,Pack ’n play/Travel crib,Children’s dinnerware,Board games,Baby safety gates,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,EV charger,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,USD,30.0,0.0,670,4.95,5.0,5.0,5.0,5.0,4.9,4.9,24985.0,24985.0,100.7,100.7,0.625,0.657,64.9,64.9,68.3,68.3,228,18,137,365,3189.0,3189.0,95.7,95.7,0.344,0.431,32.8,32.8,41.0,41.0,31,18,59,90,Dallas,United States,US,Northern America
1832427,Beautiful 3BR Canton Townhouse,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/40732061/f2f87ad9_original.jpg,37,9557710,Jeff,11700809,Aaron,True,32.7781,-96.7936,8.0,3.0,3.0,3.5,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Pack ’n play/Travel crib,Children’s dinnerware,Board games,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Patio or balcony,Outdoor furniture,BBQ grill,Free parking on premises,Free street parking,EV charger,Long term stays allowed",,False,2.0,Firm,USD,160.0,0.0,212,5.0,5.0,5.0,4.9,5.0,5.0,5.0,123043.0,123043.0,461.5,461.5,0.668,0.0,307.7,307.7,0.0,0.0,244,0,121,365,26763.0,26763.0,479.2,479.2,0.578,0.0,276.0,276.0,0.0,0.0,52,0,38,90,Dallas,United States,US,Northern America
2537593,Victor's Old East Dallas Bedroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/0257d27b-1f9d-4631-bbee-ddcd41c42d5e.jpg,26,12993311,Jan,,,True,32.7991,-96.7591,,,1.0,0.0,False,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water,Bed linens,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,Backyard,Essentials,Hangers,Iron,Dedicated workspace,Baking sheet",,False,5.0,Moderate,USD,0.0,0.0,68,4.87,4.9,5.0,4.8,4.9,4.7,4.8,11585.0,11585.0,57.6,57.6,0.548,0.702,31.7,31.7,40.6,40.6,200,80,165,365,1443.0,1443.0,55.6,55.6,0.289,0.542,16.0,16.0,30.1,30.1,26,42,64,90,Dallas,United States,US,Northern America
2707172,"Queen, Walk in Shower-TV-- Internet",Private room in home,private_room,https://a0.muscache.com/im/pictures/38544048/31928731_original.jpg,4,12321313,Judith,,,False,32.9926,-96.8371,,,1.0,0.0,False,"TV,Washer,Dryer,Smoke alarm,Exercise equipment,Wifi,Carbon monoxide alarm,Air conditioning,First aid kit,Backyard,Fire extinguisher,Essentials,Free parking on premises,Shampoo,Hair dryer,Hot water,Indoor fireplace,Heating",,False,1.0,Flexible,USD,25.0,10.0,16,4.5,4.6,4.5,4.8,4.4,4.5,4.3,1245.0,1245.0,88.5,88.5,0.036,0.0,3.3,3.3,0.0,0.0,13,0,352,365,0.0,0.0,82.3,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dallas,United States,US,Northern America
2843930,SMU/Trendy Greenville Ave/Quiet,Private room in home,private_room,https://a0.muscache.com/im/pictures/07ba6382-6e6e-4f41-baa4-ff083685a47b.jpg,20,3809024,Holly,,,True,32.8355,-96.7733,,,1.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Piano,Books and reading material,Children’s books and toys,Children’s dinnerware,Board games,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Bikes,Sun loungers,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,USD,30.0,20.0,55,4.87,4.9,4.9,4.9,5.0,5.0,4.8,17316.0,17316.0,104.5,104.5,0.444,0.771,47.0,47.0,81.7,81.7,162,155,203,365,563.0,563.0,104.7,104.7,0.056,0.114,5.9,5.9,12.1,12.1,5,46,85,90,Dallas,United States,US,Northern America
2958951,"Beautiful 2-BR/BA House, close  to downtown.",Entire home,entire_home,https://a0.muscache.com/im/pictures/38059443/6eba923b_original.jpg,14,885061,Roberto,"13110153,48146045","Humberto,Ricardo",False,32.7945,-96.7848,4.0,2.0,2.0,2.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Body soap,Microwave,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Washer,Dryer,Smoke alarm,BBQ grill,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Bathtub",False,,30.0,Moderate,USD,0.0,0.0,34,4.71,4.8,4.9,4.6,4.9,4.8,4.8,6252.0,6252.0,104.7,104.7,0.162,0.28,17.1,17.1,29.6,29.6,59,154,306,365,0.0,0.0,93.1,93.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dallas,United States,US,Northern America
2967263,Amber's first floor bedroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/3e24f01a-01e8-4635-8ae2-958d4808a0e8.jpg,26,12993311,Jan,,,True,32.7992,-96.7577,,,1.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Record player,Books and reading material,Board games,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Dining table,Coffee,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Moderate,USD,0.0,0.0,55,4.78,4.8,4.9,4.5,4.9,4.7,4.8,8086.0,8086.0,72.1,72.1,0.304,0.333,22.2,22.2,24.3,24.3,111,32,254,365,0.0,0.0,70.5,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dallas,United States,US,Northern America
