listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
360,Denver’s Peaceful Oasis for Travel Nurses & Nomads,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/monet/Select-360/original/acb0aaaf-38db-44d0-bdb2-71c054963529,79,666,Jennifer & Gio,,,True,39.7664,-105.0021,2.0,2.0,2,1.0,True,"Air conditioning,Bathtub,Hair dryer,Shampoo,Body soap,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Board games,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Dining table,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free street parking,Hot tub,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,30.0,Firm,USD,,,186,4.98,5.0,5.0,5.0,5.0,5.0,4.9,20842.0,20842.0,124.0,124.0,0.458,0.788,57.1,57.1,98.3,98.3,167,153,198,365,0.0,0.0,114.4,114.4,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Denver,United States,US,Northern America
364,Lodo / RiNo LOFT  via airport train,Entire loft,entire_home,https://a0.muscache.com/im/pictures/11766413/a2c5aaaf_original.jpg,19,783,Jason,,,False,39.7667,-104.9791,3.0,1.0,1,1.5,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Breakfast,Indoor fireplace,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,False,185.0,Firm,USD,0.0,0.0,87,4.85,4.8,5.0,4.8,5.0,4.7,4.7,2116.0,2116.0,177.8,177.8,0.033,0.0,5.8,5.8,0.0,0.0,12,0,353,365,1054.0,1054.0,176.4,176.4,0.067,0.0,11.7,11.7,0.0,0.0,6,0,84,90,Denver,United States,US,Northern America
592,private,Private room in home,private_room,https://a0.muscache.com/im/pictures/110936/4d141b4c_original.jpg,22,933,Jill,,,True,39.7548,-104.9111,,,1,0.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Children’s books and toys,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Free parking on premises,Free street parking",,False,2.0,Flexible,USD,10.0,5.0,212,4.9,4.8,5.0,4.6,5.0,4.8,4.9,17380.0,17380.0,62.7,62.7,0.729,0.0,46.3,46.3,0.0,0.0,266,0,99,365,3918.0,3918.0,59.4,59.4,0.711,0.0,42.3,42.3,0.0,0.0,64,0,26,90,Denver,United States,US,Northern America
1940,Baker Studio with Full Kitchen and Laundry,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTk0MA%3D%3D/original/8654d9df-787e-4161-9957-59c4e63c810b.jpeg,28,2150,Joanne,,,True,39.7202,-104.9975,2.0,,1,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Pets allowed,Luggage dropoff allowed",,False,1.0,Limited,USD,125.0,0.0,258,4.97,5.0,5.0,5.0,5.0,4.9,4.9,40812.0,40812.0,134.2,134.2,0.696,0.0,95.4,95.4,0.0,0.0,254,0,111,365,7143.0,7143.0,134.3,134.3,0.522,0.0,72.4,72.4,0.0,0.0,47,0,43,90,Denver,United States,US,Northern America
31503,Highland Park Guest House,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/ecd97638-3f98-46d6-8e53-5e9b05c8903b.jpg,9,135298,Rick,,,True,39.7618,-105.0285,2.0,1.0,1,1.0,True,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Backyard,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,5.0,Firm,USD,0.0,0.0,200,4.9,4.9,4.9,5.0,5.0,4.9,4.9,18336.0,18336.0,95.1,95.1,0.529,0.555,50.2,50.2,52.7,52.7,193,17,172,365,4517.0,4517.0,87.2,87.2,0.578,0.712,50.2,50.2,61.9,61.9,52,17,38,90,Denver,United States,US,Northern America
39405,LoHi Secret Garden at Mulberry at Denver Cottages,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/c1686c33-4efa-4010-9c60-38ee01d76514.jpg,119,666,Jennifer & Gio,,,True,39.7661,-105.0031,2.0,1.0,1,1.0,True,"Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Board games,Air conditioning,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free street parking,Hot tub,Single level home,Luggage dropoff allowed",,False,1.0,Firm,USD,0.0,0.0,787,4.93,4.9,5.0,4.9,5.0,4.9,4.9,37442.0,37442.0,145.2,145.2,0.688,0.0,102.6,102.6,0.0,0.0,251,0,114,365,8925.0,8925.0,149.2,149.2,0.644,0.0,99.2,99.2,0.0,0.0,58,0,32,90,Denver,United States,US,Northern America
90307,Comfy King Bed (Park Hill),Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTAzMDc%3D/original/fe615dd1-7a09-4764-94ed-de3eec182da8.jpeg,10,489506,Doreen,,,True,39.7495,-104.9336,,,1,0.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Sound system,Air conditioning,Indoor fireplace,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,USD,35.0,0.0,306,4.93,4.9,5.0,5.0,5.0,4.9,4.9,13226.0,13226.0,96.6,96.6,0.364,0.396,34.9,34.9,37.9,37.9,133,29,232,365,1432.0,1432.0,101.2,101.2,0.144,0.213,15.1,15.1,22.3,22.3,13,29,77,90,Denver,United States,US,Northern America
192430,Treetop View Room East City Park 1-2 months,Private room in condo,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-192430/original/cd8a2dd2-0203-449e-a270-ddd6e01347de.jpeg,16,923646,Kate,,,False,39.7435,-104.9375,,,1,0.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Sound system,Bathtub,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",False,,29.0,Moderate,USD,0.0,0.0,132,4.69,4.8,4.8,4.7,4.8,4.8,4.7,1243.0,1243.0,37.3,37.3,0.085,0.105,3.4,3.4,4.2,4.2,31,69,334,365,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Denver,United States,US,Northern America
364585,Washington Park Stunning Townhouse,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/4524046/148e16f1_original.jpg,36,930851,Nicholas,,,False,39.6985,-104.9807,6.0,3.0,4,2.5,False,"Pets allowed,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking",,False,29.0,Moderate,USD,,,146,4.8,4.8,4.8,4.6,4.7,4.9,4.7,17879.0,17879.0,172.9,172.9,0.285,0.46,49.0,49.0,79.1,79.1,104,139,261,365,7025.0,7025.0,167.0,167.0,0.478,0.0,78.1,78.1,0.0,0.0,43,0,47,90,Denver,United States,US,Northern America
370209,Private room in the nest - w/bathroom,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/468d731f-1601-4517-819d-5aaad6d3870b.jpg,23,269892,Maura,,,True,39.7172,-104.9977,,,1,0.0,True,"Wifi,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Dining table,Coffee,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1.0,Firm,USD,0.0,0.0,216,4.99,5.0,5.0,4.9,5.0,4.9,4.9,16120.0,16120.0,78.2,78.2,0.564,0.582,44.2,44.2,45.5,45.5,206,11,159,365,1863.0,1863.0,79.8,79.8,0.267,0.0,20.7,20.7,0.0,0.0,24,0,66,90,Denver,United States,US,Northern America
