listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
10837,"Famous Detroit Loves You Guest Home, Gated Parking",Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-10837/original/cf7e412f-868c-46e4-acac-3e6dd60c8d87.jpeg,41,39040,Nathan,,,True,42.3786,-83.085,16.0,4.0,12.0,2.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Record player,Books and reading material,Theme room,Crib,Children’s books and toys,Changing table,Fireplace guards,Window guards,Board games,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pets allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,USD,20.0,0.0,504,4.78,4.7,4.9,4.7,5.0,4.3,4.7,35056.0,35056.0,227.4,227.4,0.386,0.0,94.9,94.9,0.0,0.0,141,0,224,365,2438.0,2438.0,231.0,231.0,0.122,0.0,26.6,26.6,0.0,0.0,11,0,79,90,Detroit,United States,US,Northern America
259518,Design-centric Corktown Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/15113780/86481243_original.jpg,12,196727,Meghan,270516330,Lindsey,True,42.3311,-83.0761,4.0,2.0,2.0,2.0,False,"Hair dryer,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Baking sheet,Private entrance,Patio or balcony,Free street parking,Paid parking off premises,Pets allowed",,False,1.0,Strict,USD,100.0,0.0,503,4.9,4.9,5.0,4.9,4.9,4.9,4.7,45224.0,45224.0,207.0,207.0,0.477,0.0,106.9,106.9,0.0,0.0,174,0,191,365,7551.0,7551.0,194.5,194.5,0.344,0.0,71.7,71.7,0.0,0.0,31,0,59,90,Detroit,United States,US,Northern America
491801,Old Farmhouse in the City,Private room in home,private_room,https://a0.muscache.com/im/pictures/7803492/f3a4c932_original.jpg,24,2430640,Julie,,,True,42.415,-82.9133,,,2.0,0.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Children’s books and toys,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,USD,20.0,10.0,145,4.85,4.8,4.9,4.7,4.9,4.6,4.8,3932.0,3932.0,55.1,55.1,0.186,0.212,10.2,10.2,11.7,11.7,68,45,297,365,1471.0,1471.0,54.1,54.1,0.289,0.0,15.5,15.5,0.0,0.0,26,0,64,90,Detroit,United States,US,Northern America
1841217,Stylish New Center 3BR 2.5BA Loft 5✭✭✭✭✭ SUPERHOST,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/cc613347-6679-493d-8702-4c5ae76a0237.jpg,51,1415901,Jerry,,,True,42.3734,-83.0754,16.0,3.0,4.0,2.5,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Pets allowed,Conditioner,Trash compactor,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Outlet covers,Bathtub,High chair,Children’s books and toys,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils",,False,2.0,Moderate,USD,,,273,4.88,4.9,5.0,4.8,5.0,4.8,4.8,2905.0,2905.0,196.4,196.4,0.049,0.149,8.0,8.0,24.0,24.0,18,244,347,365,2117.0,2117.0,155.7,155.7,0.122,0.175,23.5,23.5,33.6,33.6,11,27,79,90,Detroit,United States,US,Northern America
1903097,“The Blue Hotel” - Retreat in the heart of Detroit,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1903097/original/64e95a88-4d38-4d89-b581-a7857437604b.jpeg,39,9880427,Frances,,,True,42.3814,-83.0766,6.0,2.0,3.0,1.0,False,"Bathtub,Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Dining table,Private entrance,BBQ grill,Free parking on premises,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,USD,100.0,0.0,40,4.95,5.0,5.0,5.0,5.0,4.8,4.9,25155.0,25155.0,113.1,113.1,0.515,0.0,58.0,58.0,0.0,0.0,188,0,177,365,4532.0,4532.0,131.9,131.9,0.322,0.0,43.7,43.7,0.0,0.0,29,0,61,90,Detroit,United States,US,Northern America
1942169,"Spacious Detroit Home!
 \Corporate Comfort\""""",Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1942169/original/b0677d29-9796-4119-8bd2-3321def60b6f.jpeg,14,10046357,Dasumo,,,False,42.4267,-83.2079,8.0,4.0,4.0,2.5,False,"Bathtub,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Oven,Coffee maker,Toaster,Dining table,Free parking on premises,Free street parking,Long term stays allowed,Cleaning before checkout",,False,3.0,Flexible,USD,200.0,0.0,27,4.78,4.9,5.0,4.9,4.9,4.5,4.7,4086.0,4086.0,267.9,267.9,0.041,0.098,10.6,10.6,25.4,25.4,15,212,350,365,4086.0,4086.0,258.5,258.5,0.167,0.242,43.2,43.2,62.7,62.7,15,28,75,90,Detroit,United States,US,Northern America
1944569,Get cozy in this 100 year old beauty,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4ba9090a-8503-40c9-949f-6e89a11828bf.jpg,12,9726249,Lauri,,,False,42.3742,-83.1006,4.0,2.0,2.0,1.0,False,"Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Wine glasses,Toaster,Private entrance,Patio or balcony,Free parking on premises",,False,3.0,Firm,USD,130.0,0.0,31,4.97,5.0,5.0,4.9,5.0,4.8,4.9,18311.0,18311.0,133.5,133.5,0.337,0.358,45.2,45.2,47.9,47.9,123,21,242,365,4329.0,4329.0,167.9,167.9,0.278,0.0,46.7,46.7,0.0,0.0,25,0,65,90,Detroit,United States,US,Northern America
2571646,Quaint & Quirky NY Style Apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/043331c8-60e8-47fc-b73d-ced1890b1adb.jpg,20,2400932,JackiesPlace,,,True,42.3426,-83.0526,2.0,1.0,1.0,1.0,False,"Wifi,Bathtub,Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Long term stays allowed",,False,1.0,Moderate,USD,,,628,4.87,4.9,4.9,4.9,5.0,4.9,4.8,20813.0,20813.0,126.1,126.1,0.427,0.0,57.0,57.0,0.0,0.0,156,0,209,365,3301.0,3301.0,124.7,124.7,0.278,0.0,36.7,36.7,0.0,0.0,25,0,65,90,Detroit,United States,US,Northern America
2980070,Art district garden level apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2980070/original/81c04247-3a42-4fcd-8252-91e4d3e17705.jpeg,9,2682793,Frank,35335245,Krissy,False,42.3633,-83.0622,4.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Conditioner,Shower gel,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Free parking on premises",,False,2.0,Firm,USD,40.0,0.0,75,4.63,4.8,4.9,4.6,4.8,4.8,4.7,15954.0,15954.0,82.5,82.5,0.507,0.665,42.4,42.4,55.7,55.7,185,87,180,365,437.0,437.0,78.9,78.9,0.056,0.128,4.4,4.4,10.2,10.2,5,51,85,90,Detroit,United States,US,Northern America
3230701,Sunny Apt Close to Downtown,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3230701/original/3b9eec4b-7f9d-423a-b370-9b74c10120f7.jpeg,29,2400932,JackiesPlace,,,True,42.3423,-83.0513,2.0,1.0,1.0,1.0,False,"Wifi,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Free parking on premises,Free street parking,Elevator,Long term stays allowed",,False,1.0,Moderate,USD,40.0,0.0,834,4.8,4.9,4.9,4.9,5.0,4.8,4.8,16563.0,16563.0,129.4,129.4,0.307,0.0,42.6,42.6,0.0,0.0,112,0,253,365,2126.0,2126.0,110.0,110.0,0.156,0.0,21.8,21.8,0.0,0.0,14,0,76,90,Detroit,United States,US,Northern America
