listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
18465,"Ocean Escape, Your Perfect Spot!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/482716/f05d7d87_original.jpg,35,71120,Mike,,,False,21.2736,-157.8209,4.0,1.0,2.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Beach access,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Beach essentials,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Outdoor playground,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",,False,3.0,Firm,USD,225.0,0.0,104,4.81,4.8,4.9,4.7,4.9,4.9,4.6,33730.0,33730.0,320.8,320.8,0.277,0.344,86.2,86.2,107.1,107.1,101,71,264,365,1780.0,1780.0,334.7,334.7,0.044,0.074,17.3,17.3,28.8,28.8,4,36,86,90,Honolulu,United States,US,Northern America
18466,Mountain Retreat. Affordable Luxury,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/65289777/5fe1bdd6_original.jpg,37,71120,Mike,,,False,21.2744,-157.8204,4.0,1.0,1.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Stove,Washer,Dryer,Beach access,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Beach essentials,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",,False,3.0,Firm,USD,225.0,0.0,97,4.88,4.9,4.8,4.8,5.0,4.9,4.8,25290.0,25290.0,294.6,294.6,0.219,0.356,64.4,64.4,104.4,104.4,80,140,285,365,0.0,0.0,307.3,307.3,0.0,0.0,0.0,0.0,0.0,0.0,0,86,90,90,Honolulu,United States,US,Northern America
20562,"\Peacock\"" Studio w/FREE Parking & Full Kitchen""",Entire condo,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-20562/original/1fe5d5df-0bea-4501-9ba6-70aecc5d106e.jpeg,75,77633,Tom,"215586490,405700562","Brian,Tropical Escapes Realty Co Host",True,21.2792,-157.8285,4.0,1.0,2.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Clothing storage,Ethernet connection,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Rice maker,Dining table,Coffee,Private entrance,Patio or balcony,Outdoor furniture,Free parking on premises,Pool,Elevator,Luggage dropoff allowed,Long term stays allowed",,True,1.0,Firm,USD,125.0,0.0,129,4.85,4.9,4.9,4.8,4.9,5.0,4.8,78858.0,78858.0,242.0,242.0,0.819,0.882,198.2,198.2,213.4,213.4,299,26,66,365,16478.0,16478.0,257.8,257.8,0.633,0.891,165.0,165.0,232.1,232.1,57,26,33,90,Honolulu,United States,US,Northern America
37099,RARE HAWAIIAN DIAMOND,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/89721329/796c9817_original.jpg,96,85234,Kurt,91723665,Irene,True,21.2715,-157.8232,2.0,,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Coffee maker,Patio or balcony,Free street parking,Pool,Elevator,Paid parking off premises,Paid parking on premises",,False,3.0,Strict,USD,75.0,0.0,362,4.83,4.8,4.9,4.8,4.9,4.9,4.8,56413.0,56413.0,162.8,162.8,0.901,0.922,146.1,146.1,149.4,149.4,329,8,36,365,12706.0,12706.0,174.0,174.0,0.756,0.829,132.0,132.0,144.9,144.9,68,8,22,90,Honolulu,United States,US,Northern America
38634,Ilikai 2112: Stunning Ocean View in Sunny Waikiki,Room in hotel,private_room,https://a0.muscache.com/im/pictures/930810/fb872c8f_original.jpg,35,165595,Yarden,270543174,Hyun,True,21.2833,-157.8379,2.0,1.0,2.0,1.0,True,"Cable TV,Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Books and reading material,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Rice maker,Coffee,Beach access,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free street parking,Pool,Hot tub,Elevator,Paid parking off premises,Paid parking on premises,Single level home,Luggage dropoff allowed,Cleaning before checkout",,False,1.0,Moderate,USD,120.0,0.0,443,4.84,4.9,5.0,4.9,4.9,4.9,4.7,96188.0,96188.0,318.9,318.9,0.764,0.0,245.8,245.8,0.0,0.0,279,0,86,365,27335.0,27335.0,349.5,349.5,0.8,0.0,286.4,286.4,0.0,0.0,72,0,18,90,Honolulu,United States,US,Northern America
104447,Waikiki Gem at Century Center,Entire condo,entire_home,https://a0.muscache.com/im/pictures/44604793/eb85d6f1_original.jpg,30,71120,Mike,,,False,21.2902,-157.8367,2.0,1.0,2.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Exercise equipment,Air conditioning,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Rice maker,Dining table,Coffee,Waterfront,Beach access,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free street parking,Pool,Hot tub,Sauna,Elevator,Gym,Paid parking off premises,Paid parking on premises,Long term stays allowed",,False,30.0,Firm,USD,,,29,4.83,5.0,5.0,4.9,5.0,4.9,4.8,4115.0,4115.0,126.4,126.4,0.088,0.229,11.3,11.3,29.4,29.4,32,225,333,365,0.0,0.0,135.4,135.4,0.0,0.0,0.0,0.0,0.0,0.0,0,63,90,90,Honolulu,United States,US,Northern America
152046,THE HAPPIEST SPACE - WAIKIKI SMILES,Entire condo,entire_home,https://a0.muscache.com/im/pictures/87995735/a01c227e_original.jpg,63,85234,Kurt,91723665,Irene,True,21.273,-157.8224,2.0,,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Free street parking,Pool,Elevator,Paid parking off premises,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Strict,USD,75.0,0.0,411,4.73,4.7,4.9,4.7,4.9,4.9,4.8,42160.0,42160.0,137.1,137.1,0.784,0.0,107.5,107.5,0.0,0.0,286,0,79,365,8704.0,8704.0,143.3,143.3,0.633,0.0,91.7,91.7,0.0,0.0,57,0,33,90,Honolulu,United States,US,Northern America
239370,"*Waikiki Hotel*Free parking, Wifi, Pool",Entire condo,entire_home,https://a0.muscache.com/im/pictures/2425585/3f06232e_original.jpg,36,1255224,Asami Emily,661896316,Shirley,False,21.276,-157.8207,4.0,1.0,3.0,1.0,True,"Pets allowed,Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Rice maker,Dining table,Beach access,Laundromat nearby,Resort access,Patio or balcony,Outdoor furniture,Outdoor dining area,Outdoor kitchen,BBQ grill,Free parking on premises,Pool,Elevator,Gym,Long term stays allowed",,False,2.0,Moderate,USD,190.0,0.0,160,4.59,4.7,4.8,4.5,4.8,4.8,4.6,40245.0,40245.0,210.2,210.2,0.515,0.707,100.9,100.9,138.4,138.4,188,99,177,365,223.0,223.0,244.0,244.0,0.011,0.034,2.5,2.5,7.7,7.7,1,61,89,90,Honolulu,United States,US,Northern America
370635,Hawaii Basecamp to Sun & Surf ❤️,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/363328e6-d09a-4714-be9d-6fd7e55dab50.jpg,18,1867700,Norman,,,False,21.2857,-157.8334,3.0,,2.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,TV,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Waterfront,Private entrance,Patio or balcony,Backyard,BBQ grill,Free street parking,Pool,Hot tub,Elevator,Gym,Paid parking off premises,Paid parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Strict,USD,122.0,0.0,186,4.75,4.7,4.8,4.8,4.9,4.8,4.7,14468.0,14468.0,169.6,169.6,0.255,0.259,34.6,34.6,35.2,35.2,93,6,272,365,2477.0,2477.0,206.3,206.3,0.144,0.0,24.8,24.8,0.0,0.0,13,0,77,90,Honolulu,United States,US,Northern America
426613,Steps From Waikiki Beach 906a Studio,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDI2NjEz/original/11ac683d-2b35-4e2b-8589-5f762c746465.jpeg,23,1671698,Brenda,,,False,21.2751,-157.8246,2.0,,1.0,1.0,True,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Coffee maker,Wine glasses,Toaster,Blender,Rice maker,Dining table,Beach access,Laundromat nearby,Resort access,Patio or balcony,Outdoor furniture,Outdoor dining area,Beach essentials,Free street parking,Elevator,Paid parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,USD,98.0,0.0,350,4.61,4.7,4.8,4.6,4.8,4.9,4.6,47073.0,47073.0,136.7,136.7,0.811,0.841,110.2,110.2,114.2,114.2,296,13,69,365,10770.0,10770.0,137.8,137.8,0.744,0.87,104.4,104.4,122.1,122.1,67,13,23,90,Honolulu,United States,US,Northern America
