listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
315201,Quaint Bedroom in Downtown/Midtown Area,Private room in home,private_room,https://a0.muscache.com/im/pictures/14244373/3a258d79_original.jpg,28,962245,Jerry,,,False,29.7367,-95.3734,,,1.0,0.0,False,"Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Piano,Game console,Books and reading material,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,EV charger,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,15.0,Firm,USD,50.0,0.0,9,4.78,4.7,4.9,4.7,4.9,4.6,4.6,714.0,714.0,67.6,67.6,0.027,0.053,1.8,1.8,3.5,3.5,10,177,355,365,0.0,0.0,69.5,69.5,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Houston,United States,US,Northern America
356761,Modern/Charming Heights Garage Apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/a92f61f3-a849-4417-a4d2-a9cf69a4c37e.jpg,12,1805766,Charles,,,False,29.8059,-95.395,2.0,,1.0,1.0,False,"Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Fire pit,Outdoor dining area,Free street parking,Pets allowed,Long term stays allowed",,False,7.0,Moderate,USD,99.0,0.0,64,4.91,4.9,5.0,4.9,4.9,5.0,4.7,9872.0,9872.0,111.0,111.0,0.214,0.248,23.8,23.8,27.6,27.6,78,50,287,365,656.0,656.0,118.3,118.3,0.044,0.061,5.1,5.1,6.9,6.9,4,24,86,90,Houston,United States,US,Northern America
672941,❤️ Staycation Cr2 Family Museums Zoo & Park~2Bedrm,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-672941/original/28a8be05-0983-4e90-b0d7-9c0d41473dfa.jpeg,38,3403755,Helen And Mario,,,False,29.7313,-95.3771,6.0,2.0,3.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Pack ’n play/Travel crib,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Long term stays allowed",,False,2.0,Firm,USD,55.0,0.0,212,4.63,4.7,4.9,4.5,4.9,4.8,4.6,1321.0,1321.0,110.7,110.7,0.03,0.033,3.2,3.2,3.4,3.4,11,28,354,365,0.0,0.0,116.4,116.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Houston,United States,US,Northern America
692578,Flamingo House  1/1 w W/D,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/6364b828-75f1-4df3-b3cf-fa74ad97d657.jpg,12,3395129,Kendra,,,True,29.7417,-95.3984,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",False,,1.0,Strict,USD,0.0,0.0,282,4.82,4.8,4.9,4.7,4.9,5.0,4.8,2054.0,2054.0,88.0,88.0,0.066,0.082,5.6,5.6,7.0,7.0,24,71,341,365,0.0,0.0,93.8,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Houston,United States,US,Northern America
734329,"Luxury Experience w/ Pool, walk to Museums. unique",Entire home,entire_home,https://a0.muscache.com/im/pictures/49f2958c-db0a-4c77-86cf-4245bb51dcb1.jpg,83,3827788,Hans,,,False,29.7264,-95.3938,4.0,2.0,3.0,2.5,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,TV,Sound system,Game console,Exercise equipment,Books and reading material,Board games,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Pool,Hot tub,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,USD,95.0,0.0,63,4.86,4.9,4.9,4.9,5.0,4.9,4.8,14068.0,14068.0,377.7,377.7,0.104,0.106,37.2,37.2,37.9,37.9,38,6,327,365,865.0,865.0,416.6,416.6,0.022,0.0,9.6,9.6,0.0,0.0,2,0,88,90,Houston,United States,US,Northern America
750957,Carriage House apartment - central!,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/8ab4bc48-e55b-4d9d-83a3-fcc040e78447.jpg,15,3948551,Stephen,16594477,Joseph,True,29.7339,-95.4069,4.0,1.0,2.0,1.0,False,"Bathtub,Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Dining table,Private entrance,Backyard,Free street parking,Single level home,Long term stays allowed",,False,7.0,Moderate,USD,85.0,0.0,41,4.88,4.9,5.0,4.4,5.0,5.0,4.8,12533.0,12533.0,108.5,108.5,0.31,0.565,33.2,33.2,60.5,60.5,113,165,252,365,3381.0,3381.0,103.8,103.8,0.333,0.0,34.7,34.7,0.0,0.0,30,0,60,90,Houston,United States,US,Northern America
929577,Centrally Located near Inner Loop A,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-929577/original/db79a257-5880-4678-b3d9-448ede646d69.jpeg,16,5003499,David,,,False,29.8182,-95.4535,3.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Free parking on premises,Pool",,False,4.0,Moderate,USD,,,39,4.69,4.9,5.0,4.7,4.9,4.3,4.6,14149.0,14149.0,85.3,85.3,0.463,0.542,38.8,38.8,45.3,45.3,169,53,196,365,722.0,722.0,90.4,90.4,0.089,0.0,8.0,8.0,0.0,0.0,8,0,82,90,Houston,United States,US,Northern America
970969,Centrally Located Near Inner Loop C,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-970969/original/4cbc06cd-9489-48c0-9b7d-bf13e216fedf.jpeg,16,5003499,David,88915937,Connor,False,29.8182,-95.4535,4.0,1.0,1.0,1.0,False,"Hot water,TV,Air conditioning,Heating,Wifi,Kitchen,Free parking on premises,Pool",,False,4.0,Moderate,USD,,,40,4.77,4.7,4.9,4.6,4.8,4.3,4.6,8971.0,8971.0,94.3,94.3,0.304,0.381,24.6,24.6,30.8,30.8,111,74,254,365,325.0,325.0,108.4,108.4,0.033,0.0,3.6,3.6,0.0,0.0,3,0,87,90,Houston,United States,US,Northern America
1051570,Centrally Located Near Inner Loop D,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/16127124/80aeedb8_original.jpg,10,5003499,David,,,True,29.8182,-95.4535,3.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Hangers,Iron,Clothing storage,TV,Air conditioning,Ceiling fan,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Oven,Coffee maker,Dining table,Free parking on premises,Pool",,False,4.0,Moderate,USD,,,28,4.32,4.8,4.9,4.6,4.9,4.3,4.3,5067.0,5067.0,83.3,83.3,0.167,0.216,13.9,13.9,17.9,17.9,61,82,304,365,499.0,499.0,84.6,84.6,0.067,0.0,5.5,5.5,0.0,0.0,6,0,84,90,Houston,United States,US,Northern America
1189184,Centrally Located Near Inner Loop E,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1189184/original/0a55c94e-4539-4fc9-a68f-30a95c3f45bf.jpeg,12,5003499,David,,,False,29.8182,-95.4535,3.0,1.0,1.0,1.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Heating",False,False,4.0,Flexible,USD,50.0,0.0,16,4.69,4.8,4.9,4.8,4.9,4.1,4.5,1771.0,1771.0,87.8,87.8,0.052,0.073,4.6,4.6,6.4,6.4,19,103,346,365,1274.0,1274.0,88.8,88.8,0.156,0.0,13.6,13.6,0.0,0.0,14,0,76,90,Houston,United States,US,Northern America
