listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
8830,Indy's #1 AirBnB on Hip Mass Ave,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2078771/dc69e394_original.jpg,28,27318,Matt,,,False,39.7786,-86.1474,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,False,30.0,Firm,USD,0.0,0.0,114,4.88,4.9,5.0,4.8,5.0,5.0,4.9,2859.0,2859.0,98.2,98.2,0.079,0.0,7.8,7.8,0.0,0.0,29,0,336,365,388.0,388.0,95.3,95.3,0.044,0.0,4.3,4.3,0.0,0.0,4,0,86,90,Indianapolis,United States,US,Northern America
77381,Entire 4BR HOME 10min from Downtown Indy!,Entire home,entire_home,https://a0.muscache.com/im/pictures/2079065/a43d8e63_original.jpg,27,413992,Pamela,,,False,39.8275,-86.1451,15.0,5.0,7.0,2.5,True,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,Ethernet connection,TV,Piano,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,Board games,Air conditioning,Indoor fireplace,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Patio or balcony,Backyard,Fire pit,Outdoor furniture,BBQ grill,Free street parking",,False,3.0,Moderate,USD,150.0,0.0,144,4.75,4.8,4.9,4.7,4.8,4.7,4.8,17210.0,17210.0,314.6,314.6,0.137,0.0,43.0,43.0,0.0,0.0,50,0,315,365,7847.0,7847.0,323.5,323.5,0.244,0.0,78.9,78.9,0.0,0.0,22,0,68,90,Indianapolis,United States,US,Northern America
301976,2 Blocks From Lucas Oil!,Entire home,entire_home,https://a0.muscache.com/im/pictures/cb150ce0-650d-46e3-8461-349d1a057018.jpg,45,1555390,Matt,,,True,39.7538,-86.1618,6.0,3.0,3.0,1.5,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Record player,Sound system,Game console,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Coffee,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Hot tub,EV charger,Pets allowed",,False,2.0,Firm,USD,125.0,0.0,185,4.92,4.9,5.0,4.9,5.0,4.8,4.8,67537.0,67537.0,313.4,313.4,0.534,0.552,172.7,172.7,178.6,178.6,195,12,170,365,729.0,729.0,299.9,299.9,0.022,0.0,6.7,6.7,0.0,0.0,2,0,88,90,Indianapolis,United States,US,Northern America
307768,Spacious 1908 Home Near Downtown,Entire home,entire_home,https://a0.muscache.com/im/pictures/3253734/adb38b46_original.jpg,21,1583457,Kelli,,,False,39.7503,-86.1422,8.0,4.0,6.0,2.0,True,"Bathtub,Hair dryer,Washer,Dryer,Room-darkening shades,Iron,Piano,Record player,Sound system,Game console,Board games,Babysitter recommendations,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Blender,Rice maker,Dining table,Coffee,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Free parking on premises,Free street parking,Pets allowed",,False,2.0,Moderate,USD,100.0,0.0,30,4.87,4.8,4.9,4.9,4.9,4.8,4.7,9391.0,9391.0,495.2,495.2,0.055,0.055,25.2,25.2,25.2,25.2,20,1,345,365,6624.0,6624.0,420.8,420.8,0.167,0.169,72.5,72.5,73.3,73.3,15,1,75,90,Indianapolis,United States,US,Northern America
310492,Homemade breakfast included!,Private room in home,private_room,https://a0.muscache.com/im/pictures/a7e4ac92-54a4-4630-9bf9-24fd4f65fd9a.jpg,8,1597192,Karen,,,False,39.7795,-86.0783,,2.0,2.0,0.0,False,"Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Breakfast",,False,1.0,Moderate,USD,50.0,0.0,69,4.99,5.0,5.0,5.0,5.0,4.9,4.9,8987.0,8987.0,90.3,90.3,0.255,0.0,23.0,23.0,0.0,0.0,93,0,272,365,1865.0,1865.0,86.7,86.7,0.222,0.0,19.6,19.6,0.0,0.0,20,0,70,90,Indianapolis,United States,US,Northern America
312950,Large House Rental in Historic Area,Entire home,entire_home,https://a0.muscache.com/im/pictures/3404623/9944cbdf_original.jpg,25,1609093,Richard,,,False,39.8925,-86.1561,14.0,4.0,4.0,3.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Pack ’n play/Travel crib,High chair,Fireplace guards,Outlet covers,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,USD,140.0,0.0,169,4.79,4.8,5.0,4.6,5.0,5.0,4.7,30162.0,30162.0,407.0,407.0,0.184,0.227,75.0,75.0,92.8,92.8,67,70,298,365,2513.0,2513.0,376.4,376.4,0.067,0.113,24.8,24.8,42.1,42.1,6,37,84,90,Indianapolis,United States,US,Northern America
320499,Very Nice room for 2,Private room in home,private_room,https://a0.muscache.com/im/pictures/2a8c5d5e-aae8-4fd5-a243-d64ab5c2760f.jpg,21,1642119,Bill And Nibia,,,True,39.7786,-86.2602,,,2.0,0.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Indoor fireplace,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Breakfast",,False,1.0,Moderate,USD,0.0,0.0,101,4.98,4.9,5.0,5.0,5.0,4.9,4.9,3446.0,3446.0,89.9,89.9,0.107,0.111,9.4,9.4,9.8,9.8,39,14,326,365,259.0,259.0,91.4,91.4,0.033,0.039,2.9,2.9,3.4,3.4,3,14,87,90,Indianapolis,United States,US,Northern America
1789780,The Blue House Apartments,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/01e5d5e2-a834-46e8-b810-df78f337e094.jpg,21,6198189,Philip,,,True,39.7776,-86.1476,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Coffee maker,Coffee,Outdoor furniture,Free parking on premises",,False,2.0,Flexible,USD,0.0,0.0,78,4.99,5.0,5.0,5.0,4.9,5.0,4.9,37481.0,37481.0,171.6,171.6,0.605,0.706,102.7,102.7,119.7,119.7,221,52,144,365,6484.0,6484.0,178.0,178.0,0.411,0.974,72.0,72.0,170.6,170.6,37,52,53,90,Indianapolis,United States,US,Northern America
2566246,Lux Heart of Downtown Loft | Arcade | PoolTable,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjU2NjI0Ng==/original/c338ae3d-1f70-41b5-8a37-172b2147f5ae.jpeg,40,12679646,Brett,,,False,39.7642,-86.157,7.0,3.0,3.0,2.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Pool table,Paid parking off premises,Ceiling fan,Conditioner,Elevator,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Life size games,Freezer,Private entrance,Bathtub,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Dining table,Baking sheet,Arcade games,Toaster",,False,3.0,Strict,USD,207.0,0.0,49,4.98,4.9,5.0,5.0,5.0,4.9,4.9,79510.0,79510.0,535.0,535.0,0.345,0.0,202.0,202.0,0.0,0.0,126,0,239,365,16058.0,16058.0,516.3,516.3,0.278,0.0,160.0,160.0,0.0,0.0,25,0,65,90,Indianapolis,United States,US,Northern America
2596977,Aqua Vida in Fountain Square  Downtown,Entire home,entire_home,https://a0.muscache.com/im/pictures/4e0a1888-f635-4617-b381-610114091087.jpg,50,727092,Kelly,,,False,39.7573,-86.133,9.0,3.0,4.0,1.5,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Hammock,Cleaning products,Heating,Coffee,Wine glasses,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Sound system,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",False,,2.0,Moderate,USD,75.0,0.0,149,4.77,4.8,4.9,4.7,4.9,4.7,4.7,19252.0,19252.0,157.9,157.9,0.299,0.343,45.8,45.8,52.5,52.5,109,47,256,365,0.0,0.0,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Indianapolis,United States,US,Northern America
