listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
143096,"Las Vegas House with Private Pool 2,000 sq ft",Entire home,entire_home,https://a0.muscache.com/im/pictures/b3c4bba8-ebb8-4bf6-9fb5-4604555c810e.jpg,38,694506,Shari,,,True,36.0515,-115.2257,6.0,3.0,3.0,2.5,False,"Bathtub,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Baking sheet,Barbecue utensils,Private entrance,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Free parking on premises,Free street parking,Pool,Long term stays allowed",,False,28.0,Strict,USD,150.0,0.0,271,4.65,4.8,4.9,4.5,4.9,4.8,4.7,30745.0,30745.0,134.6,134.6,0.512,0.0,68.6,68.6,0.0,0.0,187,0,178,365,5477.0,5477.0,128.5,128.5,0.4,0.0,47.5,47.5,0.0,0.0,36,0,54,90,Las Vegas,United States,US,Northern America
202452,Las Vegas Excitement/Romantic Stay,Entire home,entire_home,https://a0.muscache.com/im/pictures/e99ad0d2-4787-49a5-a346-0bf2d696d061.jpg,15,991487,Duke,,,True,36.0208,-115.273,6.0,3.0,3.0,2.5,False,"Pets allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Sound system,Game console,Arcade games,Books and reading material,Crib,Air conditioning,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Rice maker,Dining table,Coffee,Backyard,Outdoor furniture,BBQ grill,Free parking on premises,Free street parking,Paid parking off premises,Paid parking on premises,Long term stays allowed",,False,2.0,Flexible,USD,75.0,0.0,383,4.86,4.9,5.0,4.7,5.0,4.8,4.9,66294.0,66294.0,180.7,180.7,0.942,0.0,170.5,170.5,0.0,0.0,344,0,21,365,17032.0,17032.0,178.6,178.6,0.967,0.0,172.6,172.6,0.0,0.0,87,0,3,90,Las Vegas,United States,US,Northern America
258872,Your home away from home awaits!,Entire home,entire_home,https://a0.muscache.com/im/pictures/ed199ee4-ea8b-4ff4-bba2-02b3438d67a6.jpg,10,1360561,Rosa,,,True,36.1529,-115.1493,8.0,3.0,4.0,2.0,True,"Bathtub,Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Window guards,Board games,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Private entrance,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Single level home,Pets allowed,Long term stays allowed",,False,3.0,Firm,USD,200.0,0.0,372,4.79,4.8,4.9,4.8,4.9,4.7,4.8,73229.0,73229.0,211.3,211.3,0.819,0.0,174.3,174.3,0.0,0.0,299,0,66,365,21047.0,21047.0,232.4,232.4,0.889,0.0,207.2,207.2,0.0,0.0,80,0,10,90,Las Vegas,United States,US,Northern America
294706,900 Sf ~ 1 bedroom Condo on Las Vegas Blvd,Entire condo,entire_home,https://a0.muscache.com/im/pictures/08892bab-fda3-44ac-816b-37709c1a0771.jpg,23,1523583,Robert,,,False,36.0593,-115.1707,6.0,1.0,2.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Pool,Free parking on premises,Hot water kettle,Ceiling fan,Gym,Breakfast,Resort access,Conditioner,Elevator,Laundromat nearby,Hot tub,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Dryer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Bathtub,Changing table,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Safe,Dining table,Baking sheet,Arcade games,Sun loungers,Toaster",,False,3.0,Strict,USD,0.0,0.0,9,5.0,4.9,4.8,5.0,4.9,4.9,5.0,9178.0,9178.0,214.6,214.6,0.121,0.0,25.1,25.1,0.0,0.0,44,0,321,365,2325.0,2325.0,196.8,196.8,0.133,0.0,25.8,25.8,0.0,0.0,12,0,78,90,Las Vegas,United States,US,Northern America
855576,Private Pool | Spa | Pool Table | WIFI,Entire home,entire_home,https://a0.muscache.com/im/pictures/bf9aaac2-6d6b-4108-bdc4-eb28d8f8bc3d.jpg,18,3474397,Anthony,,,True,36.1633,-115.2641,10.0,4.0,4.0,2.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Pack ’n play/Travel crib,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Hot tub,Single level home,Long term stays allowed",,False,31.0,Strict,USD,,,34,4.47,4.6,4.7,4.8,4.6,4.4,4.5,4494.0,4494.0,119.9,119.9,0.104,0.0,12.3,12.3,0.0,0.0,38,0,327,365,0.0,0.0,120.5,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Las Vegas,United States,US,Northern America
890332,Modern Villa - 10 mins to the Strip,Entire home,entire_home,https://a0.muscache.com/im/pictures/9e7c6530-1db6-46c4-bc0a-eda2a401ece5.jpg,24,981582,Jason & Kevin,534554949,Amy,False,36.0576,-115.211,8.0,3.0,5.0,2.0,False,"Hair dryer,Hot water,Washer,Dryer,TV,Air conditioning,Ceiling fan,Portable fans,Heating,Smoke alarm,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Coffee maker,Backyard,Free parking on premises,Single level home,Pets allowed,Long term stays allowed",,False,2.0,Firm,USD,,,85,4.58,4.8,4.8,4.5,4.6,4.7,4.4,52584.0,52584.0,259.2,259.2,0.512,0.558,144.1,144.1,157.0,157.0,187,30,178,365,1779.0,1779.0,216.3,216.3,0.133,0.2,19.8,19.8,29.6,29.6,12,30,78,90,Las Vegas,United States,US,Northern America
945060,Spacious Home w/ Game Room & Private Spa!,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-945060/original/b74cb58e-0591-496d-8049-ae87070c7818.jpeg,15,3474397,Anthony,,,True,35.9772,-115.1648,10.0,1.0,1.0,3.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Conditioner,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,High chair,Blender,Pack ’n play/Travel crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,3.0,Strict,USD,315.0,0.0,237,4.65,4.7,4.9,4.7,4.8,4.7,4.7,50839.0,50839.0,314.9,314.9,0.373,0.39,119.4,119.4,124.9,124.9,136,16,229,365,13823.0,13823.0,345.2,345.2,0.367,0.446,129.1,129.1,157.0,157.0,33,16,57,90,Las Vegas,United States,US,Northern America
1285201,"Palm Villa: Private Pool, Ping Pong, 3300 sq ft",Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1285201/original/f369eeba-2fa2-4574-8ee9-a6e9056962e8.jpeg,25,981582,Jason & Kevin,,,False,36.0464,-115.2291,12.0,6.0,9.0,3.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Backyard,Free parking on premises,Pool,Pets allowed,Long term stays allowed",,False,2.0,Firm,USD,370.0,0.0,131,4.43,4.6,4.7,4.5,4.5,4.8,4.4,38705.0,38705.0,575.7,575.7,0.164,0.232,101.0,101.0,142.3,142.3,60,106,305,365,0.0,0.0,445.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47,90,90,Las Vegas,United States,US,Northern America
1364502,The Birdbath- Small Private Casita,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/a6617cfd-8ba3-4edf-8fee-073f0a8ccb01.jpg,36,7404839,Barbara,,,True,36.1632,-115.2531,2.0,1.0,2.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Toaster,Blender,Dining table,Private entrance,Laundromat nearby,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Moderate,USD,0.0,0.0,362,4.85,4.9,5.0,4.9,4.9,4.7,4.8,21082.0,21082.0,101.1,101.1,0.567,0.0,57.8,57.8,0.0,0.0,207,0,158,365,5347.0,5347.0,100.0,100.0,0.589,0.0,59.4,59.4,0.0,0.0,53,0,37,90,Las Vegas,United States,US,Northern America
1656438,Modern Private Room & Pool near Red Rock,Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTY1NjQzOA==/original/0abc9f72-5809-45bc-af79-2cb345057614.jpeg,39,7578163,Kamila,,,True,36.1309,-115.3049,,,1.0,0.0,True,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Conditioner,Mini fridge,Free street parking,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Bathtub,Changing table,Children’s books and toys,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Children's playroom,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,,Moderate,USD,15.0,0.0,179,4.92,4.9,4.9,4.9,4.9,4.9,4.9,2002.0,2002.0,92.2,92.2,0.058,0.062,5.4,5.4,5.8,5.8,21,29,344,365,2002.0,2002.0,93.4,93.4,0.233,0.344,21.7,21.7,32.1,32.1,21,29,69,90,Las Vegas,United States,US,Northern America
