listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
16545,Charming - Your Miami 2 BR Home !,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/93502145/af5c2f45_original.jpg,39.0,64311,Ana Marilu,592207811,Gabriel,False,25.6838,-80.3985,5.0,2.0,4.0,2.5,True,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water kettle,Portable fans,Hot water,Conditioner,Bed linens,Trash compactor,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Baking sheet,Freezer,Toaster,Bathtub",,False,2.0,Moderate,USD,150.0,0.0,123,4.63,4.7,4.8,4.7,4.8,4.8,4.6,38218.0,38218.0,170.8,170.8,0.584,0.59,92.0,92.0,93.0,93.0,213,4,152,365,9622.0,9622.0,197.6,197.6,0.478,0.5,93.6,93.6,97.9,97.9,43,4,47,90,Miami,United States,US,Northern America
222181,Cozy Family home with a pool,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-222181/original/c753a200-f1a7-405e-a135-798dc790e2be.jpeg,27.0,1153161,Mila,,,False,25.8445,-80.1875,5.0,2.0,3.0,2.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Books and reading material,Ceiling fan,Record player,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Bathtub,Children’s books and toys,Hot water,Body soap,Bed linens,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Dining table,Toaster",,False,4.0,Firm,USD,150.0,0.0,33,4.85,4.9,5.0,4.7,5.0,4.8,4.7,31074.0,31074.0,291.3,291.3,0.274,0.301,81.8,81.8,90.0,90.0,100,33,265,365,7869.0,7869.0,288.5,288.5,0.289,0.0,82.4,82.4,0.0,0.0,26,0,64,90,Miami,United States,US,Northern America
281500,DOWNTOWN MODERN INCREDIBLE VIEWS 2/2 LOFT,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3373051/ab5967f2_original.jpg,84.0,1298367,Jose,,,True,25.7772,-80.1901,4.0,2.0,4.0,2.0,False,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Hot tub,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Bathtub",,False,3.0,Firm,USD,100.0,50.0,42,4.61,4.4,4.8,4.4,4.8,4.8,4.5,8989.0,8989.0,373.4,373.4,0.058,0.107,23.5,23.5,43.8,43.8,21,169,344,365,7052.0,7052.0,398.1,398.1,0.189,0.425,76.1,76.1,171.3,171.3,17,50,73,90,Miami,United States,US,Northern America
294368,"A really good location in Miami, Florida",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/13350491/0d2ff97f_original.jpg,31.0,1521854,Maria Luisa,,,True,25.7611,-80.2033,,,1.0,0.0,False,"Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Toaster,Dining table,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Beach essentials,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,USD,25.0,0.0,711,4.92,4.9,5.0,4.9,5.0,4.9,4.9,21403.0,21403.0,68.5,68.5,0.792,0.0,54.0,54.0,0.0,0.0,289,0,76,365,5373.0,5373.0,68.6,68.6,0.8,0.0,55.0,55.0,0.0,0.0,72,0,18,90,Miami,United States,US,Northern America
300366,JUST WHERE YOU WANT IT- EFFICIENCY,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/37639464/963cb81d_original.jpg,21.0,1521854,Maria Luisa,,,True,25.7609,-80.2036,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Pool,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,90.0,Firm,USD,,,24,5.0,5.0,5.0,5.0,4.9,5.0,4.9,2428.0,2428.0,50.1,50.1,0.132,0.0,6.7,6.7,0.0,0.0,48,0,317,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Miami,United States,US,Northern America
343840,"THE LIBRARY ROOM MIAMI, FLORIDA",Private room in home,private_room,https://a0.muscache.com/im/pictures/15943173/94516db5_original.jpg,47.0,1521854,Maria Luisa,,,True,25.7611,-80.2033,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Cooking basics,Dishes and silverware,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool",,False,4.0,Firm,USD,25.0,0.0,517,4.9,5.0,4.9,4.9,5.0,4.9,4.9,13406.0,13406.0,66.8,66.8,0.526,0.593,34.3,34.3,38.6,38.6,192,41,173,365,1035.0,1035.0,69.1,69.1,0.156,0.286,10.7,10.7,19.6,19.6,14,41,76,90,Miami,United States,US,Northern America
346667,chic and cozy apt in great miami area near all!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-346667/original/46fd9b27-daad-4141-a6f5-631f59632dca.jpeg,39.0,1762510,Marisa,,,True,25.76,-80.2222,4.0,2.0,3.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Blender,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Backyard,Long term stays allowed,Dining table,Toaster",,False,3.0,Limited,USD,180.0,0.0,184,4.91,4.9,5.0,4.9,5.0,4.8,4.8,28578.0,28578.0,163.6,163.6,0.433,0.446,69.9,69.9,72.1,72.1,158,11,207,365,10486.0,10486.0,190.9,190.9,0.533,0.0,102.5,102.5,0.0,0.0,48,0,42,90,Miami,United States,US,Northern America
650708,Charming Coconut Grove Cottage,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/8454155/88ed2bc3_original.jpg,14.0,3268322,Michelle,,,False,25.7241,-80.2502,2.0,1.0,2.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Ceiling fan,Conditioner,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Washer,Dryer,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",False,,3.0,Moderate,USD,125.0,0.0,68,4.88,4.9,5.0,4.8,5.0,4.9,4.8,3560.0,3560.0,137.8,137.8,0.055,0.145,8.7,8.7,23.1,23.1,20,227,345,365,0.0,0.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Miami,United States,US,Northern America
688025,"Private accommodation in Miami, near FIU, UM.",Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-688025/original/649fff05-539e-486c-9431-590d2ee993d9.jpeg,115.0,3512229,Judith,"13733791,95603051","Sebastian,Paula Estefania",False,25.7138,-80.3735,4.0,2.0,3.0,1.0,False,"Hair dryer,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,High chair,Children’s dinnerware,Window guards,Outlet covers,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Private entrance,Patio or balcony,Backyard,Beach essentials,Free parking on premises,Free street parking,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,31.0,Moderate,USD,,,120,4.43,4.6,4.7,4.5,4.6,4.4,4.5,15258.0,15258.0,128.7,128.7,0.315,0.599,41.8,41.8,79.5,79.5,115,173,250,365,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Miami,United States,US,Northern America
864229,Lovely  and  good location Apt Mia,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/2ff79a61-ae8e-449f-b3ee-be5effc39ced.jpg,19.0,4534520,Joel,,,True,25.7693,-80.2702,2.0,1.0,1.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Conditioner,Trash compactor,Laundromat nearby,Outdoor furniture,Hammock,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Window guards,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Single level home,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",,False,2.0,Firm,USD,75.0,15.0,219,4.95,4.9,5.0,5.0,4.9,4.9,4.9,10716.0,10716.0,92.5,92.5,0.285,0.286,25.5,25.5,25.5,25.5,104,1,261,365,2201.0,2201.0,94.1,94.1,0.244,0.0,22.0,22.0,0.0,0.0,22,0,68,90,Miami,United States,US,Northern America
