listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
29059,Lovely studio Quartier Latin,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/736399/fa6c3103_original.jpg,24,125031,Maryline,,,True,45.5194,-73.5648,4.0,1.0,3.0,1.0,True,"Wifi,Air conditioning,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Mosquito net,Clothing storage,TV,Sound system,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Sun loungers,Free street parking,Paid parking off premises,Single level home,Pets allowed,Long term stays allowed",,False,2.0,Moderate,CAD,70.0,0.0,517,4.69,4.8,4.8,4.6,4.8,4.8,4.7,34405,47385,153.8,213.8,0.493,0.0,85.4,117.7,0.0,0.0,180,0,185,365,4618,6342,106.0,145.6,0.367,0.0,43.5,59.8,0.0,0.0,33,0,57,90,Montreal,Canada,CA,Northern America
29061,Historic House – Latin Quarter,Entire home,entire_home,https://a0.muscache.com/im/pictures/9e59d417-4b6a-4db1-94a6-ccac69e236bf.jpg,42,125031,Maryline,,,True,45.5193,-73.5649,4.0,2.0,2.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Mosquito net,Clothing storage,TV,Sound system,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,Board games,Air conditioning,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,CAD,103.0,0.0,174,4.77,4.9,4.9,4.7,4.8,4.9,4.7,50025,68954,266.6,370.1,0.433,0.0,128.3,176.9,0.0,0.0,158,0,207,365,7377,10132,229.9,315.8,0.278,0.0,76.2,104.7,0.0,0.0,25,0,65,90,Montreal,Canada,CA,Northern America
50479,The Sweet Arcade,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-50479/original/f32fe1c1-7e87-43cf-b30a-0ef1dbed6757.jpg,35,231694,Noemie,,,True,45.5416,-73.6074,3.0,2.0,4.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Crib,Air conditioning,Portable fans,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Free street parking,Long term stays allowed",,False,3.0,Moderate,CAD,43.0,0.0,366,4.96,5.0,5.0,5.0,5.0,4.8,4.9,35605,49280,116.1,160.9,0.773,0.0,91.7,126.9,0.0,0.0,282,0,83,365,7592,10429,118.7,163.1,0.656,0.0,79.1,108.7,0.0,0.0,59,0,31,90,Montreal,Canada,CA,Northern America
66247,Modern Loft Next To Basilica Notre Dame In Old Mtl,Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-66247/original/318d4df3-6051-4d86-8d96-3e1f122f341d.jpeg,29,318040,Mohamed,594312564,Roberta,True,45.5058,-73.556,4.0,1.0,1.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Window guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Elevator,Paid parking off premises,Long term stays allowed",,False,3.0,Strict,CAD,69.0,0.0,606,4.74,4.8,4.8,4.8,4.7,4.9,4.7,62530,86635,184.3,255.2,0.89,0.0,157.5,218.4,0.0,0.0,325,0,40,365,13020,17884,138.8,190.6,0.956,0.0,132.4,181.8,0.0,0.0,86,0,4,90,Montreal,Canada,CA,Northern America
66276,Urban Study/Work Retreat,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-66276/original/6cf24511-3ea9-46e5-a895-9ad6d73b79db.png,37,324569,Anna,,,True,45.4613,-73.629,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor dining area,Sun loungers,Free street parking,EV charger,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,31.0,Firm,CAD,,,49,4.74,4.8,4.9,4.8,5.0,4.6,4.8,9089,12530,49.1,68.3,0.501,0.59,24.9,34.3,29.3,40.4,183,55,182,365,360,493,53.7,73.8,0.078,0.0,4.0,5.5,0.0,0.0,7,0,83,90,Montreal,Canada,CA,Northern America
70801,"Large, sunny house with garden near Old MTL",Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzA4MDE=/original/5350d2a1-66e2-419d-9f52-fe62fdec2bbc.jpeg,49,294382,Jennifer&Steeve,540374,Steeve,False,45.4781,-73.557,6.0,3.0,3.0,2.5,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Exercise equipment,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Board games,Children's playroom,Air conditioning,Indoor fireplace,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,EV charger,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,CAD,,,49,4.91,4.9,4.9,4.8,5.0,4.6,4.7,55345,76145,303.8,423.1,0.392,0.79,151.6,208.6,305.8,420.7,143,184,222,365,0,0,181.0,248.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Montreal,Canada,CA,Northern America
104554,Large apartment in the heart of Mile end,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/863493/e3cfc817_original.jpg,16,543969,Victoria,,,False,45.524,-73.6018,4.0,2.0,2.0,1.0,True,"TV,Washer,Dryer,Children’s books and toys,Smoke alarm,Wifi,Patio or balcony,Luggage dropoff allowed,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Hot water,Iron,Bed linens,Private entrance,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating",,,2.0,Moderate,CAD,0.0,,98,4.68,4.7,4.8,4.5,4.8,4.8,4.8,2264,3261,107.8,151.1,0.058,0.081,6.2,8.9,8.8,12.6,21,107,344,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Montreal,Canada,CA,Northern America
135275,"Charming aparthotel, little Italie",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-135275/original/cfc6ae0c-d2de-40bb-8b5a-f37dc7b69b9f.jpeg,19,520966,Myriam,,,True,45.5397,-73.6194,2.0,1.0,1.0,2.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,31.0,Firm,CAD,,,82,4.81,4.9,5.0,4.9,5.0,4.9,4.8,12065,16669,95.7,133.3,0.29,0.667,33.1,45.7,75.9,104.8,106,206,259,365,0,0,71.0,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0,53,90,90,Montreal,Canada,CA,Northern America
137443,"Apt + garden (Mile End, Plateau) / # CiTQ 310398",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-137443/original/16af473b-adb5-4a87-b899-0d2830cf82f5.jpeg,35,656725,Christophe,,,True,45.5266,-73.6015,5.0,2.0,2.0,1.0,True,"Air conditioning,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Air conditioning,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill",,False,2.0,Strict,CAD,87.0,0.0,93,4.85,4.9,5.0,4.6,5.0,4.9,4.8,28668,39639,223.2,309.8,0.312,0.0,72.6,100.4,0.0,0.0,114,0,251,365,3819,5250,204.4,280.8,0.178,0.0,36.6,50.3,0.0,0.0,16,0,74,90,Montreal,Canada,CA,Northern America
142722,Charming studio in Plateau heart,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ee68c166-2fc3-41d4-be8d-2e5ecdb8cbb2.jpg,8,381468,Sylvie,,,True,45.5285,-73.5822,1.0,,1.0,1.0,False,"Wifi,Kitchen,Hot water kettle,Ceiling fan,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Shower gel,Patio or balcony,First aid kit,Essentials,Safe,Hangers,Hair dryer,Iron,Toaster,Bathtub",,False,32.0,Moderate,CAD,0.0,0.0,131,4.86,4.9,5.0,4.9,4.9,5.0,4.8,1344,1848,66.6,93.5,0.058,0.084,3.7,5.1,5.4,7.4,21,114,344,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Montreal,Canada,CA,Northern America
