listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
4773268.0,Cute/safe 1 bedroom attic apartment in the trees,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4773268/original/944536a3-1aac-4ccf-b1ae-d438b7881717.jpeg,14,8382752,Robert,,,False,36.232,-86.7176,4.0,1.0,4.0,1.0,False,"TV,Cable TV,Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Shampoo,Pets allowed,Heating",True,False,,Moderate,USD,50.0,0.0,25.0,4.6,4.8,4.9,4.4,4.9,4.7,4.7,8691,8691,82.5,82.5,0.249,0.0,20.1,20.1,0.0,0.0,91,0,274,365,914,914,88.9,88.9,0.1,0.0,8.5,8.5,0.0,0.0,9,0,81,90,Nashville,United States,US,Northern America
5338971.0,Heart Of Twelve South Village sleeps 4-8,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-5338971/original/9207db85-fc71-40bd-a897-c3f365efa5f7.jpeg,45,4283123,⁨12 South Village Management⁩,,,True,36.1299,-86.7887,8.0,3.0,8.0,2.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Free street parking,Outdoor furniture,Indoor fireplace,Heating,Coffee,Wine glasses,Washer,Dryer,Smoke alarm,Fire extinguisher,Bidet,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Dining table,Toaster",,False,,Firm,USD,265.0,0.0,56.0,4.7,4.8,4.9,4.8,4.8,4.9,4.8,25820,25820,474.1,474.1,0.126,0.0,61.3,61.3,0.0,0.0,46,0,319,365,6790,6790,496.1,496.1,0.167,0.0,66.6,66.6,0.0,0.0,15,0,75,90,Nashville,United States,US,Northern America
6054881.0,Family Home - Spacious Backyard w Porch -Long Term,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjA1NDg4MQ==/original/a52e9be4-2271-43aa-b388-b02f4aaa8da1.jpeg,36,4596192,Samantha + Paul,,,False,36.1054,-86.7335,5.0,3.0,4.0,2.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Pack ’n play/Travel crib,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Cleaning before checkout",,False,,Moderate,USD,,,56.0,4.96,4.9,5.0,5.0,5.0,4.8,4.9,7827,7827,142.8,142.8,0.156,0.0,21.4,21.4,0.0,0.0,57,0,308,365,7827,7827,140.2,140.2,0.633,0.0,87.0,87.0,0.0,0.0,57,0,33,90,Nashville,United States,US,Northern America
6975795.0,Violet Cottage,Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-6975795/original/2cff1dae-bb09-4c1f-8fe3-bd989bf9d3e1.jpeg,24,36435304,Judy,,,True,36.1878,-86.7645,,,2.0,0.0,True,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Clothing storage,Air conditioning,Portable fans,Heating,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Microwave,Dishes and silverware,Mini fridge,Coffee maker,Backyard,Fire pit,Free parking on premises,Free street parking,Luggage dropoff allowed",,False,,Firm,USD,40.0,15.0,38.0,5.0,5.0,5.0,5.0,5.0,4.9,5.0,14513,14513,74.7,74.7,0.463,0.0,35.0,35.0,0.0,0.0,169,0,196,365,1367,1367,80.6,80.6,0.156,0.0,13.4,13.4,0.0,0.0,14,0,76,90,Nashville,United States,US,Northern America
7369047.0,Modern Luxury minutes from downtown,Entire home,entire_home,https://a0.muscache.com/im/pictures/117e58e4-aa34-4832-8edb-3013a1eb3d97.jpg,27,38614329,Tracy,,,True,36.1562,-86.8458,10.0,3.0,6.0,3.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Pack ’n play/Travel crib,Board games,Air conditioning,Indoor fireplace,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor dining area,BBQ grill,Free street parking,Pets allowed,Long term stays allowed",,False,,Firm,USD,200.0,0.0,39.0,4.97,5.0,5.0,5.0,5.0,4.9,4.8,57871,57871,316.4,316.4,0.411,0.0,133.9,133.9,0.0,0.0,150,0,215,365,17615,17615,356.0,356.0,0.478,0.0,177.9,177.9,0.0,0.0,43,0,47,90,Nashville,United States,US,Northern America
8523966.0,Feel at home in Music City,Entire home,entire_home,https://a0.muscache.com/im/pictures/109331542/0bc3a051_original.jpg,17,44883038,David,,,False,36.0868,-86.8839,6.0,3.0,3.0,2.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Hot water,Bed linens,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Smoke alarm,BBQ grill,Shower gel,Carbon monoxide alarm,Patio or balcony,Backyard,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Baking sheet,Barbecue utensils,Private entrance",,False,,Firm,USD,150.0,0.0,53.0,4.6,4.7,4.9,4.5,4.8,4.8,4.7,41516,41516,208.8,208.8,0.455,0.0,94.8,94.8,0.0,0.0,166,0,199,365,7472,7472,216.0,216.0,0.311,0.0,66.4,66.4,0.0,0.0,28,0,62,90,Nashville,United States,US,Northern America
9515715.0,West End /Sylvan Park,Entire home,entire_home,https://a0.muscache.com/im/pictures/de5a775b-2e4c-4baf-b500-d93dfcdecc2b.jpg,21,20047747,Miguel,,,False,36.1428,-86.8388,4.0,3.0,3.0,2.5,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Books and reading material,Ceiling fan,Pets allowed,Conditioner,Trash compactor,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Bathtub,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",False,False,30.0,Moderate,USD,,,13.0,5.0,4.9,5.0,5.0,5.0,4.9,5.0,1867,1867,191.2,191.2,0.033,0.067,5.1,5.1,10.4,10.4,12,185,353,365,0,0,167.8,167.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Nashville,United States,US,Northern America
12489282.0,Cozy Private Room close to BNA,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-12489282/original/17227f13-c9bb-41af-b645-75c391536e02.jpeg,6,67609284,Andrew,,,False,36.0726,-86.6976,,,1.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,TV,Air conditioning,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Pool",,False,,Flexible,USD,30.0,0.0,43.0,4.93,4.9,5.0,4.8,4.9,4.8,4.8,14784,14784,55.2,55.2,0.663,0.0,35.7,35.7,0.0,0.0,242,0,123,365,2010,2010,63.6,63.6,0.311,0.0,19.7,19.7,0.0,0.0,28,0,62,90,Nashville,United States,US,Northern America
14732398.0,Nashville family home close to it all!,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-14732398/original/7433f2ee-208b-44a5-872f-b2cc08b195f1.jpeg,19,222542,Nathan,,,False,36.1554,-86.6712,6.0,3.0,4.0,2.0,False,"Bathtub,Hair dryer,Shampoo,Conditioner,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Coffee,Free parking on premises",,False,,Firm,USD,0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13115,13115,248.6,248.6,0.153,0.26,35.9,35.9,61.0,61.0,56,150,309,365,0,0,271.5,271.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Nashville,United States,US,Northern America
20671281.0,Romantic Cottage in a Historic Setting in Nashville,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-20671281/original/00e2ff63-fe39-4227-a104-15e987135acc.jpg,55,71647769,Heather,,,True,36.0212,-86.9684,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,USD,100.0,0.0,293.0,4.96,4.9,5.0,4.9,5.0,4.9,4.9,36029,36029,118.0,118.0,0.74,0.0,88.0,88.0,0.0,0.0,270,0,95,365,10101,10101,129.9,129.9,0.767,0.0,100.0,100.0,0.0,0.0,69,0,21,90,Nashville,United States,US,Northern America
