listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
19091,Fully Furnished Cozy Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/a5fdfd3b-5d81-4ea6-8bf7-81036841fc4a.jpg,20,72880,John,,,False,29.961,-90.1195,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Sound system,Books and reading material,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Paid parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,USD,60.0,0.0,523,4.89,5.0,5.0,4.9,5.0,4.7,4.9,6114.0,6114.0,72.6,72.6,0.219,0.0,15.4,15.4,0.0,0.0,80,0,285,365,728.0,728.0,72.7,72.7,0.089,0.0,6.8,6.8,0.0,0.0,8,0,82,90,New Orleans,United States,US,Northern America
71624,Ravenwood Manor (Historic Bywater),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/37488608/8cc1dbb4_original.jpg,22,367223,Susan,,,False,29.9615,-90.0436,2.0,1.0,1.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,False,30.0,Moderate,USD,,,316,4.94,4.9,5.0,4.9,5.0,4.8,4.9,4545.0,4545.0,166.4,166.4,0.074,0.0,12.5,12.5,0.0,0.0,27,0,338,365,0.0,0.0,167.7,167.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,New Orleans,United States,US,Northern America
74498,Maison Marais 1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/73591836/a1f5f585_original.jpg,22,391462,Georgia,438311274,Maggie,True,29.9699,-90.0517,3.0,1.0,2.0,1.0,True,"Hair dryer,Shampoo,Conditioner,Hot water,Shower gel,Essentials,Hangers,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Books and reading material,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Private entrance,Laundromat nearby,Free street parking,Long term stays allowed",,False,3.0,Strict,USD,50.0,0.0,675,4.9,4.9,4.9,5.0,5.0,4.7,4.8,37669.0,37669.0,113.5,113.5,0.866,0.0,96.6,96.6,0.0,0.0,316,0,49,365,7878.0,7878.0,92.6,92.6,0.856,0.0,79.8,79.8,0.0,0.0,77,0,13,90,New Orleans,United States,US,Northern America
79536,FeelAtHomeInNewOrleans-PrivateApt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f1037ebf-1573-4dbb-8e51-9165088f8689.jpg,26,428362,Miriam,,,True,29.978,-90.0745,2.0,1.0,2.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,Safe,TV,Pack ’n play/Travel crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Private entrance,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Smoking allowed,Long term stays allowed",,False,3.0,Strict,USD,20.0,0.0,826,4.9,4.9,5.0,5.0,5.0,4.6,4.9,48185.0,48185.0,194.3,194.3,0.652,0.0,128.7,128.7,0.0,0.0,238,0,127,365,11913.0,11913.0,143.4,143.4,0.9,0.0,128.6,128.6,0.0,0.0,81,0,9,90,New Orleans,United States,US,Northern America
79609,Bywater's Original & Finest,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/5c5da2eb-7434-4d4f-9ab7-6ea54d44ea1b.jpg,24,428909,Stephen,2857952,Jim,False,29.9645,-90.0367,3.0,2.0,2.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Board games,Air conditioning,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Microwave,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Coffee,Waterfront,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Cleaning before checkout",,False,30.0,Strict,USD,,,505,4.96,5.0,5.0,5.0,5.0,4.8,4.9,6863.0,6863.0,117.2,117.2,0.162,0.175,18.8,18.8,20.4,20.4,59,28,306,365,2935.0,2935.0,110.5,110.5,0.256,0.0,32.6,32.6,0.0,0.0,23,0,67,90,New Orleans,United States,US,Northern America
80869,"Frenchmen House \Red Room\""""",Private room in home,private_room,https://a0.muscache.com/im/pictures/6057456/c151e260_original.jpg,12,437783,Joanne,,,True,29.9681,-90.0591,,,1.0,0.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,Record player,Sound system,Pool table,Books and reading material,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Rice maker,Barbecue utensils,Coffee,Bread maker,Patio or balcony,Outdoor furniture,BBQ grill,Free street parking,Single level home,Long term stays allowed",,False,1.0,Flexible,USD,5.0,0.0,1016,4.84,4.8,4.9,4.8,4.9,4.7,4.8,21670.0,21670.0,83.3,83.3,0.707,0.0,58.5,58.5,0.0,0.0,258,0,107,365,6175.0,6175.0,84.9,84.9,0.8,0.0,67.7,67.7,0.0,0.0,72,0,18,90,New Orleans,United States,US,Northern America
90806,Mid-city.  The heart of New Orleans,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1259657/246e0611_original.jpg,26,485705,Tom,,,False,29.9726,-90.0999,2.0,1.0,2.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Books and reading material,Ceiling fan,Free street parking,Laundromat nearby,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Bathtub,Baby safety gates,Room-darkening shades,Bikes,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Baking sheet,Barbecue utensils,Toaster",,False,30.0,Firm,USD,,,145,4.94,5.0,5.0,4.9,5.0,4.9,5.0,4372.0,4372.0,77.0,77.0,0.151,0.0,12.0,12.0,0.0,0.0,55,0,310,365,1485.0,1485.0,73.6,73.6,0.178,0.0,16.5,16.5,0.0,0.0,16,0,74,90,New Orleans,United States,US,Northern America
183207,"Frenchmen House \Rose Room\""""",Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-183207/original/dad10dcd-079d-43a8-875f-14cd642f1d2c.jpeg,15,437783,Joanne,,,True,29.9681,-90.0591,,,1.0,0.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Record player,Sound system,Pool table,Books and reading material,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Bread maker,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Outdoor kitchen,BBQ grill,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,USD,5.0,0.0,947,4.84,4.8,4.9,4.8,4.9,4.7,4.8,21893.0,21893.0,81.4,81.4,0.726,0.0,59.1,59.1,0.0,0.0,265,0,100,365,4761.0,4761.0,82.6,82.6,0.633,0.0,52.0,52.0,0.0,0.0,57,0,33,90,New Orleans,United States,US,Northern America
228560,Boheme de Marigny - Historic Creole Cottage,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/84368502/aa3b6821_original.jpg,43,1192986,Dayna,,,False,29.9652,-90.059,6.0,3.0,3.0,3.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Exercise equipment,Books and reading material,Window guards,Air conditioning,Indoor fireplace,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Gym,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,USD,200.0,0.0,134,4.82,4.9,4.9,4.6,4.9,5.0,4.7,53763.0,53763.0,478.7,478.7,0.277,0.313,135.2,135.2,152.8,152.8,101,42,264,365,16598.0,16598.0,516.6,516.6,0.333,0.0,175.5,175.5,0.0,0.0,30,0,60,90,New Orleans,United States,US,Northern America
240258,Maison Marais 2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjQwMjU4/original/86496246-f5ef-4b33-9e02-43752c9745be.jpeg,18,391462,Georgia,438311274,Maggie,True,29.9693,-90.0517,3.0,1.0,2.0,1.0,True,"Wifi,Air conditioning,Free parking on premises,Room-darkening shades,Books and reading material,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Clothing storage,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",,False,3.0,Strict,USD,60.0,0.0,629,4.9,4.9,4.9,4.9,4.9,4.6,4.9,35795.0,35795.0,112.8,112.8,0.789,0.873,90.3,90.3,99.9,99.9,288,35,77,365,6656.0,6656.0,101.6,101.6,0.656,0.808,66.6,66.6,82.1,82.1,59,17,31,90,New Orleans,United States,US,Northern America
