listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
6848,Only 2 stops to Manhattan studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e4f031a7-f146-40fd-98fd-b399a940c505.jpg,15,15991,Allen,,,True,40.7094,-73.9534,3.0,2.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Free street parking",,False,30.0,Firm,USD,,,197,4.6,4.6,4.8,4.8,4.8,4.7,4.6,17371.0,17371.0,100.2,100.2,0.466,0.756,47.6,47.6,77.2,77.2,170,140,195,365,6310.0,6310.0,113.1,113.1,0.633,0.803,70.1,70.1,88.9,88.9,57,19,33,90,New York,United States,US,Northern America
6872,Uptown Sanctuary w/ Private Bath (Month to Month),Private room in condo,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-6872/original/ca638083-7a4e-4aeb-8cb9-8b965a95121c.png,8,16104,Kae,,,False,40.8011,-73.9426,,,1.0,0.0,False,"Washer,Dryer,Smoke alarm,Wifi,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Paid parking off premises,Hangers,Hot water,Elevator,Free street parking,Heating",,False,30.0,Strict,USD,0.0,0.0,2,,,,,,,,3351.0,3351.0,65.8,65.8,0.14,0.171,9.2,9.2,11.2,11.2,51,66,314,365,396.0,396.0,64.5,64.5,0.067,0.0,4.4,4.4,0.0,0.0,6,0,84,90,New York,United States,US,Northern America
6990,UES Beautiful Blue Room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/86985bff-befd-44c5-b6d9-c1f62504a35c.jpg,35,16800,Cynthia,,,True,40.7878,-73.9476,,2.0,2.0,0.0,False,"Hair dryer,Hot water,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Stove,Coffee maker,Free street parking,Paid parking off premises",,False,30.0,Moderate,USD,,,251,4.88,4.8,5.0,5.0,4.9,4.8,4.8,11160.0,11160.0,70.7,70.7,0.438,0.696,30.6,30.6,48.5,48.5,160,135,205,365,2761.0,2761.0,73.7,73.7,0.433,0.848,30.7,30.7,60.0,60.0,39,44,51,90,New York,United States,US,Northern America
7097,"Perfect for Your Parents, With Garden & Patio",Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/107655534/faa0ee03_original.jpg,29,17571,Jane,,,True,40.6919,-73.9739,,,2.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,USD,0.0,0.0,423,4.89,4.9,5.0,4.9,4.9,5.0,4.8,45024.0,45024.0,213.5,213.5,0.562,0.0,123.4,123.4,0.0,0.0,205,0,160,365,0.0,0.0,202.3,202.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,New York,United States,US,Northern America
7801,Sunny Williamsburg Loft with Sauna,Entire place,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-7801/original/f31c7201-7f25-41eb-a34a-cd39b498c585.jpeg,16,21207,Chaya,313584,Elie,True,40.7188,-73.9562,2.0,,1.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Record player,Conditioner,Free street parking,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Shower gel,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",False,,30.0,Strict,USD,295.0,0.0,12,4.91,4.8,4.9,4.7,4.8,5.0,4.9,3706.0,3706.0,311.3,311.3,0.03,0.0,9.3,9.3,0.0,0.0,11,0,354,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,New York,United States,US,Northern America
8490,"Maison des Sirenes1,bohemian, luminous apartment",Entire loft,entire_home,https://a0.muscache.com/im/pictures/1d0d9773-c829-4031-8a57-96e321905a1c.jpg,58,25183,Nathalie,,,False,40.6846,-73.9396,5.0,1.0,4.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Books and reading material,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Rice maker,Bathtub,Children’s books and toys,Room-darkening shades,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,30.0,Strict,USD,135.0,0.0,189,4.77,4.8,4.9,4.7,4.9,4.7,4.8,6221.0,6221.0,176.2,176.2,0.079,0.178,14.1,14.1,31.5,31.5,29,202,336,365,2355.0,2355.0,175.2,175.2,0.122,0.177,21.7,21.7,31.5,31.5,11,28,79,90,New York,United States,US,Northern America
9357,Midtown Pied-a-terre,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/90036/4e606654_original.jpg,7,30193,Tommi,,,False,40.7672,-73.9866,2.0,,1.0,1.0,False,"Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Ceiling fan,Pets allowed,Elevator,Free street parking,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Bathtub,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Luggage dropoff allowed,Long term stays allowed,Baking sheet,Toaster",,False,45.0,Firm,USD,,,58,4.52,4.7,5.0,4.2,5.0,5.0,4.6,2469.0,2469.0,169.4,169.4,0.041,0.05,6.8,6.8,8.2,8.2,15,64,350,365,1100.0,1100.0,160.5,160.5,0.078,0.079,12.2,12.2,12.4,12.4,7,1,83,90,New York,United States,US,Northern America
10452,Radiant Oasis  B&B Style room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/16336319/ffaf266f_original.jpg,9,35935,Angela,,,True,40.6829,-73.9568,,,2.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Blender,Dining table,Coffee,Laundromat nearby,Free parking on premises,Free street parking,Long term stays allowed,Cleaning before checkout",,False,30.0,Firm,USD,,,82,4.66,4.5,4.7,4.6,4.8,4.4,4.7,4998.0,4998.0,72.0,72.0,0.167,0.803,13.7,13.7,65.8,65.8,61,289,304,365,0.0,0.0,55.2,55.2,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,New York,United States,US,Northern America
12192,ENJOY Downtown NYC!,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-12192/original/0eea0b5f-5217-4aec-a206-c487234a6c6a.jpeg,12,46978,Edward,,,True,40.723,-73.9838,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Free parking on premises,Free street parking,Long term stays allowed",,False,30.0,Flexible,USD,50.0,15.0,316,4.4,4.6,4.8,4.1,4.8,4.7,4.5,6861.0,6861.0,64.0,64.0,0.307,0.467,18.1,18.1,27.5,27.5,112,125,253,365,2200.0,2200.0,53.7,53.7,0.433,0.549,22.8,22.8,28.9,28.9,39,19,51,90,New York,United States,US,Northern America
12937,"1 Stop to Midtown! Private Bedroom, Landmark House",Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/10f2783b-5e8e-4329-9451-945e101836c8.jpg,24,50124,Orestes,,,False,40.7476,-73.9457,,,2.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,Books and reading material,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Microwave,Dishes and silverware,Mini fridge,Coffee maker,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Free street parking,Luggage dropoff allowed",,False,3.0,Firm,USD,25.0,0.0,470,4.92,4.9,4.9,4.9,4.9,4.9,4.8,53828.0,53828.0,221.3,221.3,0.652,0.0,144.2,144.2,0.0,0.0,238,0,127,365,13950.0,13950.0,234.7,234.7,0.644,0.0,151.4,151.4,0.0,0.0,58,0,32,90,New York,United States,US,Northern America
