listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
72664,Next to Seaworld 4miles from Disney,Entire condo,entire_home,https://a0.muscache.com/im/pictures/474878/0705fdc5_original.jpg,11.0,377278,Joey,,,False,28.399,-81.4638,3.0,1.0,1.0,1.0,False,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Patio or balcony,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Gym,Elevator,Hot tub,Coffee maker,Refrigerator,Bathtub",,False,2.0,Strict,USD,60.0,0.0,198.0,4.59,4.8,4.9,4.6,4.7,4.8,4.7,22869.0,22869.0,70.8,70.8,0.808,0.813,57.2,57.2,57.5,57.5,295,2,70,365,6155.0,6155.0,79.9,79.9,0.8,0.0,63.7,63.7,0.0,0.0,72,0,18,90,Orlando,United States,US,Northern America
183700,Orlando/Disney Sheraton Vistana,Entire villa,entire_home,https://a0.muscache.com/im/pictures/27762404/8b93a0a7_original.jpg,7.0,881163,Jessica,,,False,28.3683,-81.5039,8.0,2.0,4.0,2.0,False,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Shampoo,Hot water,Gym,Elevator,Hot tub,Dishes and silverware,Heating,Cooking basics",False,False,7.0,Strict,USD,207.0,0.0,12.0,4.92,4.9,4.8,4.9,5.0,5.0,4.8,5348.0,5348.0,240.5,240.5,0.052,0.0,13.0,13.0,0.0,0.0,19,0,346,365,3742.0,3742.0,256.7,256.7,0.144,0.0,37.0,37.0,0.0,0.0,13,0,77,90,Orlando,United States,US,Northern America
451795,this is a condo hotel you must be 21 to stay here,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/5258960/06e0d23a_original.jpg,19.0,2244145,Marc,,,False,28.4581,-81.4678,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Hot tub,Bathtub,Heating",False,False,1.0,Firm,USD,0.0,0.0,337.0,4.62,4.7,4.7,4.6,4.8,4.8,4.7,12177.0,12177.0,88.0,88.0,0.378,0.385,33.4,33.4,34.0,34.0,138,7,227,365,1478.0,1478.0,86.9,86.9,0.189,0.205,16.4,16.4,17.8,17.8,17,7,73,90,Orlando,United States,US,Northern America
484920,Lake Buena Vista Resort Village & Spa - 3-BR SUITE,Entire condo,entire_home,https://a0.muscache.com/im/pictures/6485671/3dd86d28_original.jpg,19.0,2343347,Ken,,,False,28.3533,-81.4879,8.0,3.0,4.0,2.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Iron,Ethernet connection,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Coffee maker,Patio or balcony,Free parking on premises,Pool,Hot tub,Elevator,Gym",,False,4.0,Firm,USD,150.0,0.0,51.0,4.78,4.8,4.7,4.8,4.7,4.9,4.8,10078.0,10078.0,161.3,161.3,0.153,0.179,24.3,24.3,28.4,28.4,56,52,309,365,2172.0,2172.0,171.6,171.6,0.122,0.167,20.8,20.8,28.4,28.4,11,24,79,90,Orlando,United States,US,Northern America
619458,"VISTA CAY RESORT, 3 BEDROOM STANDARD APARTMENT",Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-619458/original/f9880125-ff80-47e9-aaac-c85a2147245c.jpeg,39.0,3069670,Daniel,,,True,28.4287,-81.4488,6.0,3.0,4.0,2.0,False,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Exercise equipment,Pack ’n play/Travel crib,Outdoor playground,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Resort access,Patio or balcony,Free parking on premises,Free street parking,Pool,Hot tub,Elevator,EV charger,Gym,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Moderate,USD,165.0,0.0,217.0,4.89,4.9,4.9,4.8,4.9,4.9,4.9,6729.0,6729.0,293.1,293.1,0.052,0.0,17.1,17.1,0.0,0.0,19,0,346,365,1112.0,1112.0,312.5,312.5,0.033,0.0,10.5,10.5,0.0,0.0,3,0,87,90,Orlando,United States,US,Northern America
625691,"VISTA CAY RESORT, 2 BEDROOM STANDARD APARTMENT",Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-625691/original/30f77060-d312-4644-b3d1-e5fc74b030e5.jpeg,32.0,3069670,Daniel,,,True,28.4287,-81.4488,4.0,2.0,2.0,2.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Pack ’n play/Travel crib,Outdoor playground,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Hot tub,Elevator,EV charger,Gym,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,USD,165.0,0.0,171.0,4.91,4.9,5.0,4.9,4.9,4.9,4.9,16103.0,16103.0,237.4,237.4,0.156,0.0,39.6,39.6,0.0,0.0,57,0,308,365,2955.0,2955.0,238.1,238.1,0.122,0.0,29.2,29.2,0.0,0.0,11,0,79,90,Orlando,United States,US,Northern America
709002,Private condo near airport - WIFI and cable TV,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/caa496f1-37e1-4084-b7af-bb06c8cc3ab9.jpg,26.0,1175448,Daniel,,,False,28.4746,-81.2861,1.0,1.0,4.0,1.0,False,"Free parking on premises,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,High chair,Air conditioning,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Resort access,Patio or balcony,Free parking on premises,Pool,Gym,Long term stays allowed",,False,30.0,Strict,USD,0.0,0.0,40.0,4.9,4.9,5.0,4.8,5.0,4.7,4.9,6990.0,6990.0,71.1,71.1,0.244,0.492,19.2,19.2,38.6,38.6,89,184,276,365,171.0,171.0,60.1,60.1,0.033,0.143,1.9,1.9,8.1,8.1,3,69,87,90,Orlando,United States,US,Northern America
775201,Superior Villa with 2 Master Suites Near Disney,Entire condo,entire_home,https://a0.muscache.com/im/pictures/10840972/9936fd5c_original.jpg,58.0,4050215,Shelley,,,False,28.3488,-81.5047,6.0,3.0,4.0,3.0,False,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Gym,Resort access,Elevator,Hot tub,Heating,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Bathtub,Window guards,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed",False,,2.0,Moderate,USD,95.0,0.0,40.0,4.48,4.5,4.8,4.6,4.5,4.6,4.6,2835.0,2835.0,152.5,152.5,0.047,0.049,6.7,6.7,7.1,7.1,17,20,348,365,0.0,0.0,157.8,157.8,0.0,0.0,0.0,0.0,0.0,0.0,0,17,90,90,Orlando,United States,US,Northern America
871075,"VISTA CAY RESORT, 3 BEDROOM TOWNHOUSE",Entire condo,entire_home,https://a0.muscache.com/im/pictures/142c4b33-b07f-43f7-81b4-3b73329eb2c6.jpg,24.0,3069670,Daniel,,,True,28.4287,-81.4488,8.0,3.0,4.0,3.5,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Pack ’n play/Travel crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Free parking on premises,Pool,Hot tub,EV charger,Gym,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,USD,165.0,0.0,132.0,4.88,4.9,4.9,4.9,5.0,4.9,4.8,21051.0,21051.0,278.4,278.4,0.175,0.0,52.7,52.7,0.0,0.0,64,0,301,365,7268.0,7268.0,315.6,315.6,0.211,0.0,75.3,75.3,0.0,0.0,19,0,71,90,Orlando,United States,US,Northern America
885601,"2 Bed Condo near Sea World, Disney",Entire condo,entire_home,https://a0.muscache.com/im/pictures/16199456/6309a27d_original.jpg,35.0,3618555,Martin & Sarah,,,True,28.3985,-81.465,6.0,2.0,3.0,2.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Dishes and silverware,Free parking on premises,Pool,Hot tub,Elevator,Gym",,False,2.0,Moderate,USD,109.0,0.0,434.0,4.69,4.8,4.9,4.8,5.0,4.9,4.7,37057.0,37057.0,147.7,147.7,0.636,0.707,91.7,91.7,102.0,102.0,232,37,133,365,7769.0,7769.0,172.6,172.6,0.478,0.811,80.3,80.3,136.3,136.3,43,37,47,90,Orlando,United States,US,Northern America
