listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
261065,Westboro Village Executive Suite,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-261065/original/1c70ecf4-128d-49bf-ba53-65c514525d01.jpg,32,1369632,Glenn,,,True,45.3908,-75.7562,4.0,2.0,3.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Dining table,Patio or balcony,Free parking on premises,Free street parking",,False,3.0,Flexible,CAD,0.0,0.0,129,4.96,5.0,5.0,5.0,5.0,5.0,4.9,30088.0,41638.0,130.1,180.9,0.638,0.932,82.4,114.1,120.4,166.6,233,115,132,365,3516.0,4827.0,136.2,187.0,0.289,1.0,39.1,53.6,135.2,185.7,26,64,64,90,Ottawa,Canada,CA,Northern America
290033,Rural charm close to the city,Entire home,entire_home,https://a0.muscache.com/im/pictures/3016522/1e453318_original.jpg,30,415201,Daniel,,,False,45.1682,-75.7121,4.0,2.0,2.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Record player,Conditioner,Outdoor furniture,Hammock,Cleaning products,Indoor fireplace,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,Children’s books and toys,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,2.0,Limited,CAD,65.0,0.0,20,5.0,5.0,5.0,5.0,5.0,5.0,4.9,13944.0,19155.0,156.4,217.5,0.227,0.259,36.4,50.0,41.4,56.9,83,44,282,365,7444.0,10225.0,161.0,221.2,0.5,0.978,81.3,111.6,159.0,218.4,45,44,45,90,Ottawa,Canada,CA,Northern America
490182,Cozy Basement Studio Old Ottawa East,Private room in home,private_room,https://a0.muscache.com/im/pictures/8644a3e3-10b4-4562-9ef7-49e5e9b9e3e9.jpg,33,2401179,Ela,,,True,45.4055,-75.6761,,,1.0,0.0,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Portable fans,Conditioner,Mini fridge,Free street parking,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Luggage dropoff allowed,Long term stays allowed,Baking sheet,Toaster",,False,30.0,Firm,CAD,479.0,0.0,11,5.0,5.0,5.0,5.0,5.0,4.9,4.8,2671.0,3679.0,53.1,74.6,0.14,0.195,7.3,10.1,10.2,14.1,51,104,314,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Ottawa,Canada,CA,Northern America
674799,Up to 3-bdrm with privacy - quiet & safe,Entire home,entire_home,https://a0.muscache.com/im/pictures/39672e5f-36f6-45d3-ae0b-d18716befba0.jpg,24,2058676,William,,,False,45.2691,-75.722,6.0,5.0,4.0,1.0,True,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Wine glasses,Toaster,Rice maker,Free parking on premises",,False,1.0,Firm,CAD,28.0,0.0,108,4.67,4.7,4.8,4.8,4.8,4.7,4.6,5991.0,8226.0,63.6,88.3,0.236,0.0,15.3,21.0,0.0,0.0,86,0,279,365,1096.0,1504.0,78.7,108.1,0.144,0.0,10.9,15.0,0.0,0.0,13,0,77,90,Ottawa,Canada,CA,Northern America
682632,"Adorable 2 bedroom, Central Ottawa PD1",Entire home,entire_home,https://a0.muscache.com/im/pictures/3dac520b-19e2-4f13-a1a5-6729b4e571f9.jpg,20,3201295,Greg And Valerie,,,True,45.4046,-75.7313,4.0,2.0,2.0,1.0,False,"Hair dryer,Cleaning products,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Long term stays allowed",,False,182.0,Strict,CAD,,,11,4.82,4.7,4.9,4.9,4.9,4.9,4.7,10226.0,14380.0,78.5,109.1,0.375,0.825,28.0,39.4,61.6,86.6,137,199,228,365,0.0,0.0,83.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Ottawa,Canada,CA,Northern America
682634,Highly desirable Ottawa & Wellington Village West!,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/b15917ba-a19a-414e-87d0-5f20753f0eb0.jpg,18,3201295,Greg And Valerie,,,True,45.4003,-75.7314,4.0,2.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Free street parking,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",True,,31.0,Strict,CAD,216.0,0.0,12,4.92,4.9,5.0,4.9,5.0,4.9,4.7,7011.0,9654.0,100.8,140.1,0.208,0.905,19.2,26.4,83.5,114.9,76,281,289,365,0.0,0.0,111.4,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0,82,90,90,Ottawa,Canada,CA,Northern America
943979,Smart flat near Center&Glebe+Garage,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/14438935/2272490e_original.jpg,16,5108859,Maria,,,True,45.4113,-75.6957,2.0,,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Room-darkening shades,Hot water,Mini fridge,Elevator,Extra pillows and blankets,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Toaster,Bathtub",False,False,60.0,Moderate,CAD,,,304,4.7,4.7,4.9,4.9,4.9,4.8,4.7,1304.0,1795.0,51.9,72.3,0.074,0.182,3.6,4.9,8.8,12.1,27,217,338,365,0.0,0.0,45.3,62.3,0.0,0.0,0.0,0.0,0.0,0.0,0,64,90,90,Ottawa,Canada,CA,Northern America
987450,Central New condo w Balcony/Garage!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/23873413/4c86bffb_original.jpg,19,5108859,Maria,,,True,45.4108,-75.6947,2.0,,1.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Pack ’n play/Travel crib,Air conditioning,Portable fans,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Patio or balcony,Outdoor furniture,BBQ grill,Free parking on premises,Elevator,Paid parking off premises,Single level home,Long term stays allowed",,False,60.0,Moderate,CAD,0.0,32.0,329,4.71,4.7,4.9,4.8,4.9,4.8,4.7,9154.0,12591.0,57.1,79.6,0.425,0.866,25.1,34.5,51.1,70.3,155,186,210,365,0.0,0.0,48.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0,73,90,90,Ottawa,Canada,CA,Northern America
1151370,Furnished Room in a Friendly Family Home,Private room in home,private_room,https://a0.muscache.com/im/pictures/93a42d8d-c7d1-4046-8564-66563533fe63.jpg,7,1755714,Janice And Garry,,,True,45.3476,-75.7843,,,1.0,0.0,False,"Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Piano,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Oven,Clothing storage,Stove,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Hangers,Dining table,Hair dryer,Dedicated workspace,Baking sheet,Freezer,Toaster,Rice maker",False,False,30.0,Firm,CAD,,,52,4.67,4.7,4.9,4.5,5.0,4.8,4.7,3368.0,4657.0,23.9,33.2,0.367,0.585,9.2,12.8,14.7,20.3,134,136,231,365,249.0,340.0,20.4,27.7,0.133,0.162,2.8,3.8,3.4,4.6,12,16,78,90,Ottawa,Canada,CA,Northern America
1732533,Private Clean Bedroom and Bathroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/a8a57d61-9e80-4dc2-ac0e-3b6b9e9afcee.jpg,36,9123239,Mariana,,,True,45.2738,-75.7061,,,1.0,0.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Dining table,Barbecue utensils,Toaster",False,False,2.0,Moderate,CAD,0.0,0.0,163,4.96,5.0,5.0,5.0,5.0,4.9,4.9,10863.0,15121.0,57.9,80.6,0.512,0.632,29.8,41.4,36.7,51.1,187,69,178,365,337.0,463.0,58.2,80.0,0.067,0.158,3.7,5.1,8.9,12.2,6,52,84,90,Ottawa,Canada,CA,Northern America
