listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
122773,Charming Coronado Retreat,Tiny home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-122773/original/f8979870-8823-4ffa-b312-d64de036ed19.jpeg,12,421323,Sky,,,True,33.4726,-112.065,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Free street parking,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,USD,0.0,0.0,1836,4.91,5.0,5.0,4.8,5.0,4.9,4.9,37732.0,37732.0,130.5,130.5,0.781,0.0,103.4,103.4,0.0,0.0,285,0,80,365,10841.0,10841.0,142.4,142.4,0.833,0.0,120.5,120.5,0.0,0.0,75,0,15,90,Phoenix,United States,US,Northern America
135612,Best amenities and location,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-135612/original/72e88de7-0a1d-46e6-8bc7-73d9ea5c868f.jpeg,42,664591,Blake,,,True,33.5967,-111.9877,2.0,1.0,1.0,1.0,False,"Pool,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Piano,Sound system,Exercise equipment,Ping pong table,Pool table,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Hot tub,Elevator,Gym,Long term stays allowed",,False,30.0,Firm,USD,,,22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13979.0,13979.0,95.5,95.5,0.367,0.698,38.3,38.3,72.8,72.8,134,173,231,365,6554.0,6554.0,120.5,120.5,0.633,0.0,72.8,72.8,0.0,0.0,57,0,33,90,Phoenix,United States,US,Northern America
241046,Beautiful Central Phoenix poolside Guestroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/035e3686-bb54-4192-a75f-00e6f5e95ebb.jpg,48,91618,Marcia,,,True,33.5581,-112.0944,,,1.0,0.0,False,"Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Ceiling fan,Heating,Smoke alarm,Wifi,Refrigerator,Dishes and silverware,Mini fridge,Coffee maker,Wine glasses,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Pool,Single level home,Luggage dropoff allowed",,False,1.0,Moderate,USD,25.0,0.0,579,4.93,4.9,5.0,5.0,5.0,5.0,5.0,13662.0,13662.0,73.0,73.0,0.479,0.0,34.4,34.4,0.0,0.0,175,0,190,365,3680.0,3680.0,68.1,68.1,0.556,0.0,37.8,37.8,0.0,0.0,50,0,40,90,Phoenix,United States,US,Northern America
242595,Cntrl Phx.10 min walk to Lt. Rail 1,Private room in home,private_room,https://a0.muscache.com/im/pictures/2516809/747a91cd_original.jpg,34,1273474,Darlene,,,False,33.5294,-112.0964,,,1.0,0.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Outdoor dining area",False,,11.0,Moderate,USD,0.0,10.0,76,4.87,4.9,5.0,4.9,5.0,4.9,4.9,540.0,540.0,36.3,36.3,0.038,0.179,1.5,1.5,6.9,6.9,14,287,351,365,0.0,0.0,28.4,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0,67,90,90,Phoenix,United States,US,Northern America
262609,South Mountain View 3 br house!!!!!,Entire home,entire_home,https://a0.muscache.com/im/pictures/2587841/b387d486_original.jpg,87,1364494,David,,,True,33.3578,-111.9852,6.0,3.0,4.0,2.5,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,TV,Air conditioning,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Bikes,Kayak,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,21.0,Flexible,USD,,,193,4.95,5.0,5.0,4.9,5.0,5.0,4.9,9952.0,9952.0,144.8,144.8,0.175,0.305,27.3,27.3,47.4,47.4,64,155,301,365,318.0,318.0,154.4,154.4,0.022,0.111,3.5,3.5,17.7,17.7,2,72,88,90,Phoenix,United States,US,Northern America
267547,House with Mountain Views and pool,Entire home,entire_home,https://a0.muscache.com/im/pictures/2666775/71eed9e5_original.jpg,13,1113779,Donna,,,False,33.5769,-112.0716,2.0,1.0,1.0,1.0,False,"Pets allowed,Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Coffee maker,Patio or balcony,Backyard,Free parking on premises,Free street parking,Pool",,False,3.0,Moderate,USD,0.0,0.0,167,4.8,4.8,4.9,4.9,4.9,4.6,4.8,6348.0,6348.0,115.0,115.0,0.151,0.0,17.4,17.4,0.0,0.0,55,0,310,365,1714.0,1714.0,113.3,113.3,0.167,0.0,19.0,19.0,0.0,0.0,15,0,75,90,Phoenix,United States,US,Northern America
293853,"Queen bed, private bath, W/D South Mtn, Quiet!",Private room in home,private_room,https://a0.muscache.com/im/pictures/59e6e78e-c3c6-458f-aa65-4bf5f49f34e3.jpg,17,1364494,David,,,True,33.363,-111.9826,,,1.0,0.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,Blender,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,1.0,Flexible,USD,0.0,0.0,18,5.0,4.9,5.0,4.9,5.0,5.0,5.0,753.0,753.0,60.0,60.0,0.036,0.0,2.1,2.1,0.0,0.0,13,0,352,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Phoenix,United States,US,Northern America
385845,Shaggy Dog BnB - The Dog Pound,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-385845/original/4472a17f-c3a1-415b-9f35-5809d883d0bc.jpeg,97,1931510,Terri & Steve,,,True,33.6463,-112.0483,6.0,2.0,3.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Pool table,Books and reading material,Mini golf,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Pool,Hot tub,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,3.0,Firm,USD,185.0,0.0,108,4.95,4.9,4.9,5.0,5.0,4.8,4.8,16946.0,16946.0,204.7,204.7,0.2,0.0,41.4,41.4,0.0,0.0,73,0,292,365,5553.0,5553.0,199.0,199.0,0.267,0.0,53.5,53.5,0.0,0.0,24,0,66,90,Phoenix,United States,US,Northern America
422497,Luxury Biltmore Area Vacation Home w/ Pool and Spa,Entire home,entire_home,https://a0.muscache.com/im/pictures/4970553/32cb8639_original.jpg,104,2100890,Brent,,,False,33.5182,-112.0383,6.0,3.0,,3.0,False,"Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Sound system,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Dishwasher,Stove,Oven,Coffee maker,Baking sheet,Rice maker,Barbecue utensils,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Pool,Hot tub,Single level home",,False,4.0,Firm,USD,195.0,0.0,137,4.99,5.0,5.0,5.0,5.0,5.0,5.0,5259.0,5259.0,567.0,567.0,0.027,0.0,13.9,13.9,0.0,0.0,10,0,355,365,0.0,0.0,599.7,599.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Phoenix,United States,US,Northern America
425749,Master BR ensuite with view.,Private room in home,private_room,https://a0.muscache.com/im/pictures/71399b33-67a6-4c68-a3ca-5d7e3e318e66.jpg,19,1364494,David,,,True,33.363,-111.9836,,,1.0,0.0,False,"TV,Washer,Dryer,Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Kitchen,Free parking on premises,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Heating",,False,4.0,Flexible,USD,0.0,0.0,3,5.0,5.0,5.0,4.7,5.0,5.0,5.0,829.0,829.0,64.7,64.7,0.036,0.0,2.3,2.3,0.0,0.0,13,0,352,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Phoenix,United States,US,Northern America
