listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
198548,Charming apartment overlooking the city,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e46bb202-f284-4cf1-bfcf-cf80f2c25f32.jpg,13.0,960772,Marianne,,,True,46.81,-71.2255,2.0,1.0,2,1.0,False,"Wifi,Pets allowed,Bathtub,Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Bread maker,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Bikes,Sun loungers,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,31.0,Moderate,CAD,,,64.0,4.78,4.9,4.9,4.6,5.0,4.9,4.8,8235.0,11356.0,107.9,150.4,0.203,0.871,22.6,31.1,96.9,133.6,74,280,291,365,0.0,0.0,97.3,133.7,0.0,0.0,0.0,0.0,0.0,0.0,0,85,90,90,Quebec,Canada,CA,Northern America
348647,Lafleur House # 4 (125930),Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/4663415/086ce889_original.jpg,26.0,1764323,Gilles,,,True,46.815,-71.2056,,,1,0.0,True,"TV,Cable TV,Wifi,Paid parking off premises,Ceiling fan,Hot water,Body soap,Breakfast,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Heating,Paid parking on premises,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,False,1.0,Moderate,CAD,0.0,0.0,250.0,4.8,4.9,4.9,4.9,4.9,5.0,4.8,9038.0,12482.0,146.1,203.1,0.167,0.205,24.8,34.2,30.4,42.0,61,68,304,365,0.0,0.0,148.8,204.5,0.0,0.0,0.0,0.0,0.0,0.0,0,46,90,90,Quebec,Canada,CA,Northern America
361572,Lafleur House #2 (125930),Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/4664183/3d147456_original.jpg,19.0,1764323,Gilles,,,True,46.8157,-71.205,,2.0,1,0.0,True,"TV,Cable TV,Wifi,First aid kit,Fire extinguisher,Essentials,Shampoo,Paid parking off premises,Hair dryer,Hot water,Iron,Dedicated workspace,Breakfast,Bed linens,Extra pillows and blankets,Refrigerator,Heating",True,False,1.0,Moderate,CAD,28.0,0.0,230.0,4.79,4.8,4.9,4.9,4.8,5.0,4.8,10510.0,14454.0,129.7,180.5,0.208,0.246,27.0,37.2,31.9,43.9,76,56,289,365,0.0,0.0,127.5,175.1,0.0,0.0,0.0,0.0,0.0,0.0,0,46,90,90,Quebec,Canada,CA,Northern America
361573,Lafleur House # 3 (125930),Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/4664978/d7dd5b46_original.jpg,21.0,1764323,Gilles,,,True,46.8157,-71.205,,,1,0.0,True,"TV,Cable TV,Wifi,Room-darkening shades,Paid parking off premises,Portable fans,Ceiling fan,Hot water,Body soap,Breakfast,Mosquito net,Bed linens,Extra pillows and blankets,Pocket wifi,Refrigerator,Heating,Clothing storage,Smoke alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,False,1.0,Moderate,CAD,0.0,0.0,107.0,4.84,4.8,4.9,4.9,4.9,5.0,4.8,3923.0,5390.0,140.8,195.7,0.068,0.082,10.7,14.8,12.8,17.6,25,59,340,365,0.0,0.0,147.3,202.3,0.0,0.0,0.0,0.0,0.0,0.0,0,46,90,90,Quebec,Canada,CA,Northern America
517628,Entire Townhouse on Historic rue Champlain,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/f617ef26-8920-4ccb-8d70-30101924eb1a.jpg,49.0,2216595,Jennifer,279360258,Mathieu,False,46.8043,-71.2056,8.0,5.0,5,2.5,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Indoor fireplace,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Beach access,Private entrance,Patio or balcony,Free parking on premises,Pets allowed",,False,3.0,Firm,CAD,0.0,0.0,48.0,4.88,4.9,4.9,4.8,5.0,5.0,4.8,22560.0,30996.0,374.1,524.9,0.164,0.0,61.8,84.9,0.0,0.0,60,0,305,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Quebec,Canada,CA,Northern America
878309,Sunny large apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/279fb190-76c7-45ef-ada3-caa0d9d33064.jpg,15.0,4598359,Agnes,,,False,46.7842,-71.2518,4.0,2.0,2,1.0,False,"Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Free street parking,Outdoor furniture,Hammock,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Outdoor dining area,Private entrance,Bathtub,High chair,Blender,Room-darkening shades,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Barbecue utensils,Toaster",,,32.0,Strict,CAD,0.0,,33.0,4.64,4.7,5.0,4.6,4.8,4.9,4.6,601.0,858.0,51.5,72.2,0.033,0.041,1.6,2.4,2.1,3.0,12,75,353,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Quebec,Canada,CA,Northern America
997400,Lovely and comfy flat - Two-Bedroom & Free parking,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/a1df37f5-c233-4db8-afb7-c1d09d51950f.jpg,19.0,5480680,Cecilia,"12029722,350883068","Marie-Sylvie,Silvia",False,46.8844,-71.1712,4.0,2.0,2,1.0,True,"Bathtub,Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,TV,Children’s books and toys,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Baking sheet,Private entrance,Free parking on premises,Free street parking,Long term stays allowed",,False,1.0,Strict,CAD,25.0,10.0,704.0,4.56,4.7,4.8,4.7,4.8,4.7,4.6,12760.0,17535.0,76.0,105.4,0.392,0.409,32.4,44.6,33.8,46.5,143,15,222,365,622.0,854.0,88.2,121.1,0.067,0.08,6.4,8.7,7.6,10.5,6,15,84,90,Quebec,Canada,CA,Northern America
1001559,Modern Montcalm condo (private parking),Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/954f3e21-8c7b-4b81-b0d7-31beea74965f.jpg,25.0,5508181,Simon,538288083,Les As Du Cleanup,False,46.8045,-71.2271,4.0,2.0,2,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area",True,,2.0,Firm,CAD,0.0,0.0,45.0,4.82,4.9,4.7,4.7,4.6,4.9,4.7,4786.0,6575.0,333.7,464.9,0.038,0.0,13.1,18.0,0.0,0.0,14,0,351,365,0.0,0.0,285.8,392.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Quebec,Canada,CA,Northern America
1240632,6- Sunny Room to rent monthly,Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-1240632/original/cfb0a6a5-974e-4005-a919-ac3c0552d74c.jpeg,12.0,6212858,Katia,,,False,46.8068,-71.335,,,1,0.0,False,"Wifi,Hot water,Washer,Dryer,Essentials,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Private entrance,Patio or balcony,Backyard,Free parking on premises,Free street parking",,False,31.0,Firm,CAD,,,15.0,4.27,4.3,4.8,4.2,5.0,4.4,4.3,2316.0,3169.0,19.1,26.5,0.329,0.408,6.3,8.7,7.9,10.8,120,71,245,365,495.0,678.0,19.4,26.5,0.289,0.591,5.5,7.5,11.2,15.4,26,46,64,90,Quebec,Canada,CA,Northern America
1406193,"Qc city center, cozy furnished apartment, linen provided.",Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQwNjE5Mw%3D%3D/original/96654e80-3e62-49a5-8ffd-69db9f5eca81.jpeg,19.0,7586751,Mylène,,,False,46.8149,-71.237,3.0,2.0,2,1.0,False,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,High chair,Window guards,Air conditioning,Portable fans,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,31.0,Strict,CAD,,,77.0,4.73,4.8,4.7,4.9,4.7,4.4,4.6,2496.0,3555.0,38.7,53.8,0.181,0.398,6.8,9.7,15.0,21.4,66,199,299,365,0.0,0.0,40.0,54.9,0.0,0.0,0.0,0.0,0.0,0.0,0,69,90,90,Quebec,Canada,CA,Northern America
1502540,7- Big room (31 days and more),Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-1502540/original/2f9421c5-3f9d-4ab9-a135-14102b53c2db.jpeg,10.0,6212858,Katia,,,False,46.8072,-71.3353,,,1,0.0,False,"Hot water,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Mosquito net,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Dining table,Patio or balcony,Backyard,Free parking on premises,Free street parking,Long term stays allowed,Cleaning before checkout",,False,31.0,Firm,CAD,,,8.0,4.13,4.4,4.5,3.9,4.6,4.6,4.1,3243.0,4591.0,19.0,26.4,0.449,0.633,8.9,12.6,12.5,17.7,164,106,201,365,0.0,0.0,17.3,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0,65,90,90,Quebec,Canada,CA,Northern America
