listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
6,North Park Craftsmen House * Great for Families,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-6/original/c90db2c1-96f5-4d97-8144-16b392f45310.jpeg,46,29,Sara,68011734,Weston,True,32.7552,-117.1287,7.0,3.0,6.0,2.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Game console,Books and reading material,Life size games,Mini golf,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby monitor,Fireplace guards,Outlet covers,Board games,Babysitter recommendations,Children's playroom,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Baking sheet,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,EV charger,Luggage dropoff allowed,Long term stays allowed",,False,10,Flexible,USD,150.0,0.0,221,4.85,4.9,5.0,4.7,5.0,4.8,4.8,52196.0,52196.0,289.7,289.7,0.43,0.0,127.0,127.0,0.0,0.0,157,0,208,365,20115.0,20115.0,282.4,282.4,0.689,0.0,198.5,198.5,0.0,0.0,62,0,28,90,San Diego,United States,US,Northern America
12447,Cozy Pacific Beach Hideaway!,Private room in condo,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI0NDc%3D/original/eaef3598-4101-4048-98ad-f2b7276b3e88.jpeg,13,48669,Jennifer,,,False,32.8053,-117.234,2.0,1.0,,1.0,True,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Hangers,Bed linens,Iron,Clothing storage,TV,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Coffee maker,Free parking on premises,Free street parking",,False,6,Firm,USD,95.0,0.0,9,4.89,4.6,5.0,5.0,5.0,4.9,4.7,21873.0,21873.0,113.2,113.2,0.488,0.687,56.0,56.0,78.9,78.9,178,106,187,365,2586.0,2586.0,108.2,108.2,0.256,0.511,26.6,26.6,53.2,53.2,23,45,67,90,San Diego,United States,US,Northern America
29967,"Great home, 10 min walk to Beach",Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/76103867/c9b5b706_original.jpg,27,129123,Michael,,,False,32.8075,-117.2576,6.0,2.0,3.0,2.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Patio or balcony,Free parking on premises,Long term stays allowed",,False,4,Moderate,USD,80.0,0.0,133,4.76,4.7,4.9,4.5,4.9,4.8,4.7,57999.0,57999.0,269.4,269.4,0.559,0.0,153.0,153.0,0.0,0.0,204,0,161,365,16057.0,16057.0,259.0,259.0,0.667,0.0,174.9,174.9,0.0,0.0,60,0,30,90,San Diego,United States,US,Northern America
62274,"charming, colorful, close to beach",Private room in home,private_room,https://a0.muscache.com/im/pictures/7a42505d-3cc2-41f5-9d8f-6136d9e540fc.jpg,25,302986,Isabel,,,True,32.8058,-117.2424,,,1.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Free street parking,Single level home,Luggage dropoff allowed",,False,1,Firm,USD,45.0,5.0,1007,4.79,4.9,4.9,4.9,4.9,4.9,4.8,39265.0,39265.0,108.2,108.2,0.885,0.0,97.0,97.0,0.0,0.0,323,0,42,365,7573.0,7573.0,97.0,97.0,0.767,0.0,75.1,75.1,0.0,0.0,69,0,21,90,San Diego,United States,US,Northern America
62949,Pacific Beach Cozy Private Hideaway Bikes Included,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjI5NDk%3D/original/d7397c7c-12c3-4828-a842-0a5736eafcf9.jpeg,22,21532,Lisa,,,True,32.8066,-117.2348,2.0,,,1.0,True,"TV,Wifi,Air conditioning,Room-darkening shades,Bikes,Portable fans,Hot water,Body soap,Conditioner,Mini fridge,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Beach essentials,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Sound system",False,False,1,Moderate,USD,0.0,0.0,1217,4.87,4.9,5.0,4.9,5.0,4.8,4.8,35114.0,35114.0,124.4,124.4,0.762,0.0,96.2,96.2,0.0,0.0,278,0,87,365,5119.0,5119.0,121.5,121.5,0.456,0.0,56.9,56.9,0.0,0.0,41,0,49,90,San Diego,United States,US,Northern America
103417,La Jolla Retreat-ZenLife; 3 blocks to Ocean,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-103417/original/d8791a85-82f7-45ed-8976-11e98cecc110.jpeg,49,252692,Marsha,,,True,32.8132,-117.2685,,,1.0,0.0,True,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Piano,Exercise equipment,Board games,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Beach essentials,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed",,False,30,Flexible,USD,50.0,0.0,290,4.94,4.9,5.0,4.9,5.0,5.0,4.9,16297.0,16297.0,101.8,101.8,0.405,0.0,42.0,42.0,0.0,0.0,148,0,217,365,4216.0,4216.0,108.6,108.6,0.422,0.0,43.5,43.5,0.0,0.0,38,0,52,90,San Diego,United States,US,Northern America
108349,Felspar Townhome- Beach Living by Boardwalk & Pier,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/a25c4e97-913d-4995-804b-5079173e14c0.jpg,74,546519,Juliana,,,False,32.7978,-117.2542,7.0,3.0,5.0,2.5,True,"Bathtub,Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Baby safety gates,Indoor fireplace,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,6,Strict,USD,,,166,4.76,4.8,4.9,4.5,4.8,4.9,4.7,26863.0,26863.0,437.3,437.3,0.162,0.257,73.6,73.6,116.8,116.8,59,135,306,365,3660.0,3660.0,329.8,329.8,0.167,0.0,40.7,40.7,0.0,0.0,15,0,75,90,San Diego,United States,US,Northern America
126344,"Tourmaline House - Beach, Pet-Friendly, EV Charger",Entire home,entire_home,https://a0.muscache.com/im/pictures/5414c92b-ea44-4dfa-92af-6c1f54c394f8.jpg,52,546519,Juliana,,,False,32.8066,-117.2584,8.0,3.0,6.0,2.0,True,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,High chair,Board games,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Beach access,Private entrance,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Bikes,Free parking on premises,Free street parking,Hot tub,EV charger,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,6,Strict,USD,200.0,0.0,207,4.72,4.8,4.8,4.8,4.8,4.8,4.7,47585.0,47585.0,501.2,501.2,0.26,0.397,126.0,126.0,192.4,192.4,95,126,270,365,9187.0,9187.0,471.1,471.1,0.189,0.266,95.4,95.4,134.2,134.2,17,26,73,90,San Diego,United States,US,Northern America
132966,Water View Studio in Pacific Beach!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/844771/cf86c160_original.jpg,84,555739,Rosana,,,True,32.8093,-117.2591,2.0,1.0,2.0,1.0,False,"Cable TV,Wifi,Bathtub,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Exercise equipment,Books and reading material,Air conditioning,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Beach access,Private entrance,Backyard,BBQ grill,Free parking on premises,Pool,Hot tub,Sauna,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,31,Firm,USD,,,47,4.68,4.7,4.8,4.5,4.8,5.0,4.7,15643.0,15643.0,110.1,110.1,0.381,0.602,42.9,42.9,67.7,67.7,139,134,226,365,0.0,0.0,106.4,106.4,0.0,0.0,0.0,0.0,0.0,0.0,0,58,90,90,San Diego,United States,US,Northern America
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/1046698/0ff858a5_original.jpg,27,790976,Mike,,,True,32.7531,-117.1514,2.0,,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Free street parking,Single level home,Luggage dropoff allowed",,False,3,Moderate,USD,40.0,0.0,812,4.98,5.0,5.0,5.0,5.0,5.0,5.0,56454.0,56454.0,164.3,164.3,0.899,0.0,147.9,147.9,0.0,0.0,328,0,37,365,13659.0,13659.0,160.5,160.5,0.9,0.0,144.7,144.7,0.0,0.0,81,0,9,90,San Diego,United States,US,Northern America
