listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
958,"Bright, Modern Garden Unit - 1BR/1BTH",Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/be1bf5ac-a955-466d-af7b-320e56dd841f.jpg,26,1169,Holly,,,True,37.7703,-122.4332,3.0,1.0,2.0,1.0,True,"TV,Cable TV,Wifi,Board games,Hot water kettle,Books and reading material,Conditioner,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Children’s books and toys,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Cleaning before checkout,Dining table,Toaster",,False,2.0,Moderate,USD,150.0,0.0,511,4.88,4.9,5.0,4.9,4.9,5.0,4.8,73287.0,73287.0,212.4,212.4,0.808,0.86,172.8,172.8,183.9,183.9,295,22,70,365,12087.0,12087.0,196.3,196.3,0.6,0.794,119.3,119.3,157.9,157.9,54,22,36,90,San Francisco,United States,US,Northern America
8014,female HOST quiet fast internet market parking,Private room in home,private_room,https://a0.muscache.com/im/pictures/89ca7b56-b83d-4f86-a355-76661d81401a.jpg,10,22402,Jia,,,True,37.7308,-122.4483,,,1.0,0.0,False,"Wifi,Kitchen,Smoking allowed,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",False,,4.0,Flexible,USD,0.0,0.0,90,4.77,4.7,4.9,4.3,4.9,4.6,4.7,2049.0,2049.0,76.9,76.9,0.077,0.097,5.6,5.6,7.1,7.1,28,77,337,365,0.0,0.0,82.2,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,San Francisco,United States,US,Northern America
10537,Elegant & Cozy w/City views. Private room: Purple,Private room,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-10537/original/7f0fd925-83a5-434a-b464-40ebbacb9c5c.jpg,39,36752,Teresa,,,True,37.7175,-122.397,,,1.0,0.0,True,"TV,Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Exercise equipment,Books and reading material,Crib,Pack ’n play/Travel crib,Board games,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Waterfront,Patio or balcony,Outdoor furniture,BBQ grill,Free street parking,Gym,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,USD,59.0,45.0,46,4.98,4.9,5.0,5.0,5.0,4.7,4.8,13240.0,13240.0,146.2,146.2,0.233,0.0,34.7,34.7,0.0,0.0,85,0,280,365,1129.0,1129.0,139.6,139.6,0.089,0.0,11.2,11.2,0.0,0.0,8,0,82,90,San Francisco,United States,US,Northern America
11490,Cozy Nob Hill Nook,Entire condo,entire_home,https://a0.muscache.com/im/pictures/80679/ec774f4d_original.jpg,9,42681,Rachael,10535832,Sarab,True,37.7914,-122.4115,,,1.0,0.0,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Conditioner,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,TV,Record player,Sound system,Books and reading material,Portable fans,Heating,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Blender,Rice maker,Dining table,Coffee,Patio or balcony,Elevator,Long term stays allowed",,False,30.0,Moderate,USD,,,43,4.78,4.9,4.9,4.7,4.9,5.0,4.8,12894.0,12894.0,96.2,96.2,0.348,0.472,35.3,35.3,47.9,47.9,127,96,238,365,94.0,94.0,93.6,93.6,0.011,0.016,1.0,1.0,1.5,1.5,1,29,89,90,San Francisco,United States,US,Northern America
12522,Perfectly located Castro,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-12522/original/34c53e65-4538-4c62-90cc-f77a8bce9776.jpg,21,18431,Brenda,,,True,37.7624,-122.4299,,,1.0,0.0,True,"Hair dryer,Hot water,Essentials,Bed linens,Extra pillows and blankets,Iron,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Dishes and silverware,Dishwasher",,False,3.0,Strict,USD,10.0,0.0,528,4.94,4.9,5.0,4.9,5.0,5.0,4.9,30431.0,30431.0,105.9,105.9,0.77,0.805,81.3,81.3,85.0,85.0,281,16,84,365,6740.0,6740.0,107.5,107.5,0.678,0.0,72.4,72.4,0.0,0.0,61,0,29,90,San Francisco,United States,US,Northern America
18904,Lower Haight Urban Zen With Private Bath,Private room in home,private_room,https://a0.muscache.com/im/pictures/0a3bc8a6-9168-46b7-a414-315c997ef960.jpg,24,72464,Patrick,,,True,37.7725,-122.433,,,1.0,0.0,True,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Books and reading material,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Laundromat nearby,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,USD,50.0,0.0,520,4.89,4.9,4.9,5.0,4.9,4.9,4.8,37224.0,37224.0,132.3,132.3,0.712,0.776,93.9,93.9,102.3,102.3,260,30,105,365,6888.0,6888.0,129.5,129.5,0.533,0.8,71.0,71.0,106.5,106.5,48,30,42,90,San Francisco,United States,US,Northern America
24463,"NEST of Potrero Hill - Quiet, Stylish & Convenient",Private room in condo,private_room,https://a0.muscache.com/im/pictures/52520088-5c93-4286-9c2d-647f92cbae9f.jpg,51,99128,Cathryn,,,True,37.7568,-122.4002,,,1.0,0.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Sound system,Books and reading material,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Smoking allowed",,False,2.0,Strict,USD,80.0,0.0,422,4.91,5.0,5.0,4.9,5.0,4.9,4.8,34988.0,34988.0,206.8,206.8,0.441,0.0,88.6,88.6,0.0,0.0,161,0,204,365,9135.0,9135.0,188.4,188.4,0.489,0.0,93.5,93.5,0.0,0.0,44,0,46,90,San Francisco,United States,US,Northern America
24723,"Guest Suite in PacHeights, Japantown & Fillmore St",Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-24723/original/cd181a52-d941-4d1e-8f3b-496d993b0364.jpeg,80,100800,Cynthia,,,True,37.789,-122.4338,4.0,1.0,2.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Pack ’n play/Travel crib,Children’s books and toys,Children’s dinnerware,Board games,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Coffee maker,Wine glasses,Dining table,Private entrance,Paid parking off premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Moderate,USD,0.0,0.0,519,4.86,4.9,4.9,4.9,4.9,4.9,4.8,77369.0,77369.0,244.1,244.1,0.868,0.0,212.0,212.0,0.0,0.0,317,0,48,365,16258.0,16258.0,243.5,243.5,0.744,0.0,180.6,180.6,0.0,0.0,67,0,23,90,San Francisco,United States,US,Northern America
25094,San Francisco's Luxury Oasis Private Room On Noe,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-25094/original/1f8d67fa-02af-418e-b6a0-5f7a9ca51454.jpg,38,103339,Bruce,,,True,37.7416,-122.4316,,,2.0,0.0,True,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Record player,Sound system,Books and reading material,Children’s books and toys,Fireplace guards,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free street parking,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,5.0,Moderate,USD,50.0,15.0,81,4.98,5.0,5.0,5.0,5.0,4.9,4.9,31390.0,31390.0,190.8,190.8,0.436,0.479,83.9,83.9,92.3,92.3,159,33,206,365,4606.0,4606.0,193.9,193.9,0.256,0.324,50.1,50.1,63.5,63.5,23,19,67,90,San Francisco,United States,US,Northern America
29557,gigi's bed and breakfast,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/250504/7d0c59d7_original.jpg,10,126036,Gigi,,,False,37.7789,-122.5053,4.0,1.0,2.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,Children’s dinnerware,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Coffee,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Paid parking off premises,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,2.0,Flexible,USD,0.0,0.0,145,4.97,5.0,5.0,4.9,5.0,4.9,4.9,35700.0,35700.0,215.3,215.3,0.444,0.616,97.8,97.8,135.7,135.7,162,102,203,365,3813.0,3813.0,203.7,203.7,0.211,0.328,42.4,42.4,65.7,65.7,19,32,71,90,San Francisco,United States,US,Northern America
