listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
9419,Glorious sun room w/ memory foambed,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/56645294/f7e9b2b0_original.jpg,27,30559,Angielena,,,True,47.5502,-122.3194,,,2.0,0.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Pool table,Books and reading material,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Dining table,Coffee,Laundromat nearby,Patio or balcony,Outdoor dining area,Free parking on premises,Free street parking,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Flexible,USD,20.0,15.0,222,4.74,4.8,4.9,4.8,4.9,4.7,4.7,11877.0,11877.0,80.5,80.5,0.386,0.431,31.4,31.4,35.0,35.0,141,38,224,365,1646.0,1646.0,79.3,79.3,0.222,0.0,17.8,17.8,0.0,0.0,20,0,70,90,Seattle,United States,US,Northern America
9596,"the down home , spacious, central and fab!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/665252/102d18d1_original.jpg,19,14942,Joyce,,,False,47.6561,-122.336,4.0,1.0,3.0,1.0,True,"TV,Cable TV,Wifi,Kitchen,Pets allowed,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,False,30.0,Firm,USD,0.0,0.0,97,4.56,4.6,4.8,4.5,4.7,4.9,4.6,4926.0,4926.0,112.4,112.4,0.118,0.0,13.5,13.5,0.0,0.0,43,0,322,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Seattle,United States,US,Northern America
25002,Beautiful Private  Spot in North Ballard,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/491561/cf5270cc_original.jpg,20,102684,Amanda,,,True,47.6795,-122.372,4.0,1.0,2.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Children’s books and toys,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Toaster,Coffee,Private entrance,Patio or balcony,Free parking on premises,Free street parking,Luggage dropoff allowed",,False,2.0,Flexible,USD,30.0,0.0,1158,4.93,4.9,5.0,4.9,5.0,4.9,4.9,27554.0,27554.0,93.7,93.7,0.723,0.0,68.6,68.6,0.0,0.0,264,0,101,365,5347.0,5347.0,94.1,94.1,0.578,0.0,55.1,55.1,0.0,0.0,52,0,38,90,Seattle,United States,US,Northern America
119103,Teeny Tiny Guestyhouse!,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/5941732/bd8f401a_original.jpg,43,601600,Hal,,,True,47.6524,-122.3511,3.0,2.0,2.0,1.0,True,"Elevator,Air conditioning,Wifi,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Private entrance,Patio or balcony,Backyard,Free street parking",,False,3.0,Moderate,USD,0.0,0.0,603,4.94,5.0,5.0,4.8,5.0,5.0,4.9,18943.0,18943.0,116.3,116.3,0.441,0.0,51.9,51.9,0.0,0.0,161,0,204,365,1305.0,1305.0,117.1,117.1,0.122,0.0,14.5,14.5,0.0,0.0,11,0,79,90,Seattle,United States,US,Northern America
210316,"\The 5-Star House\""  #9 The red room""",Private room in home,private_room,https://a0.muscache.com/im/pictures/32440873/920e3397_original.jpg,83,2438665,Flor,,,True,47.7008,-122.367,2.0,1.0,2.0,4.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,TV,Changing table,Air conditioning,Indoor fireplace,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Hot tub,Luggage dropoff allowed,Breakfast,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,30.0,Flexible,USD,,,77,4.77,4.7,5.0,4.9,4.9,4.6,4.8,782.0,782.0,54.2,54.2,0.036,0.044,2.1,2.1,2.6,2.6,13,67,352,365,0.0,0.0,44.8,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0,18,90,90,Seattle,United States,US,Northern America
226536,Serene Room in Sunny Cottage near Discovery Park,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-226536/original/3000e606-0f61-4e0b-ac98-e57d745bb7dc.jpeg,16,209571,Cheryl,,,True,47.6613,-122.4009,,,1.0,0.0,True,"Hair dryer,Shampoo,Conditioner,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Hot water kettle,Coffee maker,Coffee,Beach access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking",,False,1.0,Firm,USD,19.0,10.0,423,4.84,4.8,4.9,4.8,5.0,4.9,4.8,14787.0,14787.0,72.3,72.3,0.548,0.0,38.6,38.6,0.0,0.0,200,0,165,365,1608.0,1608.0,78.5,78.5,0.211,0.0,16.6,16.6,0.0,0.0,19,0,71,90,Seattle,United States,US,Northern America
226677,Sunny Parisian room cozy memory foam bed,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/56645605/ec0c8763_original.jpg,16,30559,Angielena,,,True,47.5497,-122.3175,,,1.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Blender,Coffee,Patio or balcony,Free parking on premises,Free street parking,Pets allowed,Long term stays allowed",,False,2.0,Flexible,USD,20.0,15.0,316,4.79,4.8,4.8,4.8,4.9,4.7,4.8,6050.0,6050.0,76.2,76.2,0.203,0.206,16.0,16.0,16.3,16.3,74,6,291,365,159.0,159.0,73.0,73.0,0.022,0.0,1.5,1.5,0.0,0.0,2,0,88,90,Seattle,United States,US,Northern America
229990,Alki Beach 1/2 block to beach,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-229990/original/151ca99b-5b12-411b-ac86-7f89f59efe00.jpeg,47,1201633,Wayne,,,True,47.5788,-122.4107,8.0,2.0,4.0,3.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Beach access,Patio or balcony,Backyard,Free parking on premises,Free street parking",,False,3.0,Firm,USD,140.0,0.0,40,4.88,4.8,5.0,4.8,5.0,5.0,4.8,50031.0,50031.0,220.0,220.0,0.512,0.517,121.7,121.7,122.7,122.7,187,3,178,365,3116.0,3116.0,163.4,163.4,0.189,0.195,28.4,28.4,29.4,29.4,17,3,73,90,Seattle,United States,US,Northern America
241016,Scandinavian Queen Anne Home,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-241016/original/2b47e46b-9390-44e2-91d0-fbc4980a8c99.jpeg,29,956883,Maija,,,False,47.6411,-122.3745,4.0,3.0,3.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Private entrance,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,2.0,Moderate,USD,40.0,0.0,173,4.79,4.8,4.9,4.8,4.9,4.7,4.7,68091.0,68091.0,303.1,303.1,0.586,0.723,182.2,182.2,224.6,224.6,214,69,151,365,2324.0,2324.0,285.2,285.2,0.089,0.381,24.9,24.9,106.9,106.9,8,69,82,90,Seattle,United States,US,Northern America
244499,Modern Lake Union View Condo,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjQ0NDk5/original/c17626ff-b8c7-46e7-9bbb-7b57f211b465.jpeg,19,1282652,Amanda,1282693,Adam,True,47.6464,-122.3232,2.0,1.0,1.0,1.0,False,"Washer,Dryer,Smoke alarm,Wifi,Air conditioning,Kitchen,Essentials,Long term stays allowed,Shampoo,Hot water kettle,Books and reading material,Hangers,Hair dryer,Hot water,Iron,Free street parking,Heating,Oven",,False,,Firm,USD,0.0,0.0,53,4.83,4.9,4.9,4.9,5.0,4.8,4.8,6075.0,6075.0,133.1,133.1,0.126,0.142,16.6,16.6,18.7,18.7,46,40,319,365,5555.0,5555.0,133.5,133.5,0.467,0.0,61.7,61.7,0.0,0.0,42,0,48,90,Seattle,United States,US,Northern America
