listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
36560,"View with a room, Cathedral Rock too!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-36560/original/11f16373-0f33-4b09-8d50-fb25b4f73d65.jpeg,41,157261,Carolyn,,,False,34.8254,-111.816,2.0,1.0,1,1.0,False,"Pets allowed,Air conditioning,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Dryer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Exercise equipment,Books and reading material,Fireplace guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,Outdoor kitchen,BBQ grill,Bikes,Sun loungers,Free parking on premises,Hot tub,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Flexible,USD,0.0,0.0,111,4.87,4.9,4.9,4.8,4.9,5.0,4.9,24588,24588,270.9,270.9,0.249,0.299,67.4,67.4,80.9,80.9,91,61,274,365,2634,2634,266.4,266.4,0.111,0.123,29.3,29.3,32.5,32.5,10,9,80,90,Sedona,United States,US,Northern America
169154,Self-Love Guest House - Casita,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/1b781652-0c68-40f4-9b41-2d5e05fc87f1.jpg,21,296607,Breanna,,,False,34.8567,-111.7951,4.0,2.0,2,1.0,False,"Air conditioning,Free parking on premises,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Refrigerator,Dishes and silverware,Heating,EV charger,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Private entrance,Bathtub",,False,3.0,Firm,USD,175.0,0.0,27,4.81,4.7,5.0,5.0,4.9,4.9,4.7,8876,8876,366.6,366.6,0.06,0.0,22.4,22.4,0.0,0.0,22,0,343,365,4187,4187,379.9,379.9,0.111,0.0,42.6,42.6,0.0,0.0,10,0,80,90,Sedona,United States,US,Northern America
256260,Private Serene Escape | Patio/Views in West Sedona,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-256260/original/77ac5450-c217-499a-b6b0-e9d964e34aaa.jpeg,14,351361238,Kim,"1,333,156,348,762,600,000,000,000","Joy,Jasmine,Marie",True,34.8621,-111.789,2.0,1.0,1,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Books and reading material,Board games,Air conditioning,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,Outdoor kitchen,BBQ grill,Free parking on premises,EV charger,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,True,1.0,Firm,USD,150.0,0.0,862,4.83,4.9,4.9,4.8,4.9,4.9,4.8,61340,61340,168.8,168.8,0.756,0.0,132.3,132.3,0.0,0.0,276,0,89,365,14418,14418,178.4,178.4,0.678,0.0,128.5,128.5,0.0,0.0,61,0,29,90,Sedona,United States,US,Northern America
602499,Cozy Red Rock Cottage at Historic Saddlerock Ranch,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/362304d6-0394-4ca2-95dc-b1ef0201d864.jpg,16,294812,Arna,,,False,34.8582,-111.783,2.0,1.0,1,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Iron,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Backyard,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,USD,125.0,0.0,140,4.67,4.7,4.8,4.7,4.8,5.0,4.5,6549,6549,207.9,207.9,0.077,0.0,15.5,15.5,0.0,0.0,28,0,337,365,996,996,217.8,217.8,0.044,0.0,9.7,9.7,0.0,0.0,4,0,86,90,Sedona,United States,US,Northern America
654515,"Historic Inn, 3 Blks from town, Kitchen, Jacuzzi",Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/74d9f793-f227-41e2-bd9e-be4b38cf2185.jpg,22,3292696,Debra,,,True,34.8716,-111.7637,2.0,1.0,1,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Sound system,Books and reading material,Board games,Air conditioning,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Hot tub,Single level home",,False,2.0,Firm,USD,110.0,0.0,54,4.96,4.9,5.0,4.9,5.0,5.0,4.8,46125,46125,209.1,209.1,0.521,0.556,110.4,110.4,117.8,117.8,190,23,175,365,7403,7403,187.0,187.0,0.356,0.432,68.8,68.8,83.7,83.7,32,16,58,90,Sedona,United States,US,Northern America
657068,Sedona Forest Villa LAND & NATURE LOVER'S Private  PARADISE,Entire home,entire_home,https://a0.muscache.com/im/pictures/cbc76471-8e7b-497c-a644-e897865cbfd7.jpg,46,3310923,Jerry,,,True,34.879,-111.7611,4.0,2.0,2,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Ceiling fan,Pets allowed,Resort access,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Children’s books and toys,Blender,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Backyard,Cleaning before checkout,Dining table,Outdoor playground,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,3.0,Super Strict 30 Days,USD,265.0,0.0,71,4.99,4.9,5.0,5.0,5.0,5.0,4.9,79432,79432,396.8,396.8,0.455,0.0,191.5,191.5,0.0,0.0,166,0,199,365,9356,9356,386.3,386.3,0.222,0.0,89.2,89.2,0.0,0.0,20,0,70,90,Sedona,United States,US,Northern America
885056,Uptown Sedona Guest House near all! 30 days min.,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODg1MDU2/original/3cff4c6d-3fc0-49ed-82b7-8c0442fdb6ac.jpeg,13,4688877,Marcia,,,True,34.8699,-111.7924,1.0,1.0,1,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Bed linens,Extra pillows and blankets,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Wifi,Cooking basics,Free parking on premises,Single level home,Pets allowed",,False,30.0,Flexible,USD,488.0,0.0,20,4.45,4.6,4.9,4.7,4.9,4.9,4.8,7805,7805,62.8,62.8,0.351,0.64,21.4,21.4,39.0,39.0,128,165,237,365,0,0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69,90,90,Sedona,United States,US,Northern America
895405,Writer's Room SaddleRockRanch B&B,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODk1NDA1/original/5b92f78b-0df8-4058-8099-2d1bfc284606.jpeg,13,294812,Arna,,,False,34.8576,-111.7847,,,1,0.0,False,"Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Essentials,Free parking on premises,Shampoo,Pets allowed,Hangers,Hair dryer,Hot water,Iron,Dedicated workspace,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating",False,False,2.0,Firm,USD,75.0,0.0,62,4.26,4.4,4.6,4.5,4.7,4.9,4.2,2308,2308,152.0,152.0,0.036,0.042,5.5,5.5,6.5,6.5,13,54,352,365,0,0,159.3,159.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Sedona,United States,US,Northern America
950062,Sedona Creekside Home  30 lb. Pet w Fee no events,Entire home,entire_home,https://a0.muscache.com/im/pictures/7d6b5291-a63e-454f-98f2-20d3ffcb49c9.jpg,40,5153614,Tony,,,False,34.8208,-111.8168,6.0,3.0,6,4.0,False,"Pets allowed,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Sound system,Children’s books and toys,Board games,Children's playroom,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Baking sheet,Barbecue utensils,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,Outdoor kitchen,BBQ grill,Free street parking,EV charger,Single level home,Pets allowed",,False,1.0,Firm,USD,300.0,0.0,63,4.92,5.0,5.0,5.0,4.9,5.0,4.8,40795,40795,634.0,634.0,0.151,0.159,97.8,97.8,103.5,103.5,55,20,310,365,10317,10317,647.5,647.5,0.156,0.0,101.3,101.3,0.0,0.0,14,0,76,90,Sedona,United States,US,Northern America
1217396,Cathedral Rock VIEW Cabin near Oak Cr. pets ok.,Entire cabin,entire_home,https://a0.muscache.com/im/pictures/18511673/6235736f_original.jpg,36,4688877,Marcia,"162,167,774,219,012,000","Ben,Maria",True,34.8309,-111.8075,5.0,2.0,3,1.0,False,"Pets allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,Board games,Baby safety gates,Air conditioning,Indoor fireplace,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,USD,75.0,0.0,459,4.82,4.8,4.9,4.8,4.9,4.9,4.7,44439,44439,180.5,180.5,0.616,0.0,111.5,111.5,0.0,0.0,225,0,140,365,7428,7428,177.5,177.5,0.4,0.0,74.2,74.2,0.0,0.0,36,0,54,90,Sedona,United States,US,Northern America
