listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
26654,"World Class @ CN Tower, convention centre, Theatre",Entire condo,entire_home,https://a0.muscache.com/im/pictures/81811785/5dcd6dd9_original.jpg,44,113345,Adela,,,False,43.6461,-79.3903,4.0,2.0,2.0,1.0,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Exercise equipment,Books and reading material,Children’s dinnerware,Babysitter recommendations,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Dining table,Private entrance,Patio or balcony,Outdoor furniture,BBQ grill,Pool,Hot tub,Sauna,Elevator,Gym,Paid parking on premises,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,28.0,Strict,CAD,,,46,4.8,4.8,4.7,4.8,4.8,4.9,4.7,3047.0,4189.0,100.3,139.5,0.071,0.094,8.3,11.5,11.0,15.1,26,87,339,365,0.0,0.0,78.5,107.9,0.0,0.0,0.0,0.0,0.0,0.0,0,36,90,90,Toronto,Canada,CA,Northern America
40701,Bright Beaches loft close to Queen and the lake,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-40701/original/06cae31a-517d-427f-b2d1-044d75398627.jpeg,17,175687,John,131144463,John,False,43.6724,-79.2886,2.0,1.0,1.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",,False,28.0,Firm,CAD,,,12,4.67,4.8,4.7,4.2,4.7,4.9,4.5,3925.0,5417.0,57.4,80.0,0.173,0.354,10.8,14.8,22.1,30.4,63,187,302,365,0.0,0.0,54.8,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0,80,90,90,Toronto,Canada,CA,Northern America
44452,Yonge & Bloor Studio Skyline,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/395bd5b5-795a-4721-bd14-2d5988e8cf6c.jpg,46,195095,Urbano,,,True,43.6719,-79.3859,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Free street parking,Paid parking off premises,Long term stays allowed",,False,28.0,Firm,CAD,,,68,4.19,4.5,4.8,4.0,4.8,5.0,4.2,3801.0,5224.0,78.4,109.3,0.151,0.232,10.4,14.3,16.0,22.0,55,128,310,365,953.0,1311.0,64.8,89.0,0.167,0.0,10.6,14.6,0.0,0.0,15,0,75,90,Toronto,Canada,CA,Northern America
45399,Fountain View Studio - Eaton center,Entire condo,entire_home,https://a0.muscache.com/im/pictures/5e2bfbce-c070-4597-a5ba-e7fb4ff8d9e4.jpg,52,195095,Urbano,,,False,43.6612,-79.3834,3.0,,1.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Toaster,Bathtub",False,,28.0,Firm,CAD,75.0,0.0,89,4.17,4.5,4.6,4.0,4.7,4.9,4.2,1288.0,1868.0,87.2,121.6,0.033,0.046,3.3,4.8,4.7,6.8,12,105,353,365,0.0,0.0,72.3,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Toronto,Canada,CA,Northern America
50110,Yorkville one bedroom Condo,Entire condo,entire_home,https://a0.muscache.com/im/pictures/6329076e-ea60-4800-95a5-e88098c3110a.jpg,64,195095,Sam,,,False,43.669,-79.3856,3.0,1.0,1.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Essentials,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Toaster,Rice maker,Bathtub",False,False,28.0,Firm,CAD,0.0,0.0,61,4.63,4.8,4.8,4.4,4.9,4.9,4.5,760.0,1045.0,98.3,137.3,0.027,0.044,2.1,2.9,3.4,4.6,10,139,355,365,0.0,0.0,77.2,106.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Toronto,Canada,CA,Northern America
64641,Furnished Downtown Room,Private room in home,private_room,https://a0.muscache.com/im/pictures/9d1ab011-f464-449e-926f-6204bba23a75.jpg,19,304551,Kintoo,,,False,43.6445,-79.4074,,,1.0,0.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Long term stays allowed",,False,120.0,Strict,CAD,,,28,4.81,4.8,4.9,4.5,4.9,4.9,4.6,6309.0,8762.0,35.3,49.1,0.496,0.764,17.3,24.0,26.6,37.0,181,128,184,365,1609.0,2206.0,34.1,46.8,0.533,0.565,17.9,24.5,18.9,26.0,48,5,42,90,Toronto,Canada,CA,Northern America
64645,Furnished Downtown Suite with Private Washroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/399022/44ea6c33_original.jpg,16,304551,Kintoo,,,False,43.6448,-79.4091,,1.0,,0.0,False,"Hot water,Washer,Dryer,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen",,False,90.0,Strict,CAD,,,18,4.75,4.9,4.6,4.8,4.9,4.9,4.5,6713.0,9409.0,43.4,60.4,0.416,0.0,18.4,25.8,0.0,0.0,152,0,213,365,1391.0,1914.0,40.6,55.8,0.378,0.0,15.5,21.3,0.0,0.0,34,0,56,90,Toronto,Canada,CA,Northern America
96336,John & Bren's Queen West 3 bedroom townhouse,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/0610cab5-293a-40d1-b5e0-d01c0d220f8e.jpg,16,511506,Brenda,,,True,43.6439,-79.4101,5.0,3.0,3.0,2.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Books and reading material,Board games,Air conditioning,Air conditioning,Ceiling fan,Portable fans,Heating,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Rice maker,Barbecue utensils,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,CAD,87.0,0.0,179,4.93,4.9,5.0,4.9,5.0,5.0,4.9,56272.0,78123.0,269.8,375.1,0.54,0.857,148.2,205.8,235.2,326.6,197,135,168,365,0.0,0.0,270.7,371.9,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Toronto,Canada,CA,Northern America
153000,"1,100SqFt. 2B+Den Rogers/Convention Centre, TIFF",Entire condominium,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTUzMDAw/original/aa425e89-1d77-4da4-a82b-4592463125df.jpeg,20,735795,Khamraj,,,True,43.6449,-79.3912,4.0,2.0,2.0,2.0,True,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Iron,Clothing storage,Ethernet connection,TV,Game console,Books and reading material,Board games,Air conditioning,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Private entrance,Free parking on premises,Pool,Elevator,Paid parking off premises,Pets allowed,Long term stays allowed",,False,28.0,Moderate,CAD,108.0,0.0,64,4.61,4.7,4.7,4.3,4.7,4.9,4.5,21208.0,29200.0,296.2,410.8,0.238,0.244,56.9,78.4,58.2,80.1,87,8,278,365,3072.0,4220.0,369.5,507.6,0.089,0.098,31.7,43.6,34.8,47.9,8,8,82,90,Toronto,Canada,CA,Northern America
154743,Downtown Yorkville Toronto,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-154743/original/b589dceb-1007-4a1c-ac61-3ef75437adf9.jpeg,13,744412,Gloria,,,True,43.6702,-79.3837,2.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Patio or balcony,BBQ grill,Elevator,Gym,Paid parking off premises",,False,180.0,Firm,CAD,,,70,4.79,4.9,4.8,4.9,4.8,5.0,4.8,4511.0,6289.0,64.6,89.9,0.192,0.25,12.4,17.2,16.1,22.5,70,85,295,365,383.0,525.0,63.1,86.7,0.067,0.107,4.3,5.8,6.8,9.4,6,34,84,90,Toronto,Canada,CA,Northern America
