listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
13188,Garden level studio in ideal loc.,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/8408188/e1af63e4_original.jpg,12,51466,Emma,"311,013,458,352,776,000","Megan,Alberto",True,49.2477,-123.1051,4.0,,2.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Crib,Pack ’n play/Travel crib,High chair,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Rice maker,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,EV charger,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,CAD,43.0,0.0,382,4.85,4.9,4.9,4.9,4.9,4.9,4.8,34008,47243,114.4,159.0,0.77,0.772,87.2,121.2,87.4,121.5,281,1,84,365,5371,7376,124.6,171.1,0.467,0.472,58.2,80.0,58.9,80.9,42,1,48,90,Vancouver,Canada,CA,Northern America
13358,Designer suite with a short walk to BC Place,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-13358/original/8c9d8108-77e9-4948-93d8-263c5ac8036e.jpeg,32,52116,Linda,,,False,49.2812,-123.1259,2.0,1.0,1.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Hot water,Body soap,Conditioner,Elevator,Bed linens,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Single level home,Smoke alarm,Shower gel,Carbon monoxide alarm,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Baking sheet,Freezer,Toaster,Bathtub",,False,1.0,Firm,CAD,72.0,0.0,587,4.71,4.8,4.8,4.8,4.8,4.9,4.7,47475,65802,153.6,213.4,0.764,0.786,120.4,167.0,123.8,171.7,279,10,86,365,7985,10971,136.5,187.4,0.589,0.662,83.1,114.2,93.5,128.5,53,10,37,90,Vancouver,Canada,CA,Northern America
18589,Commercial Drive B&B,Private room in home,private_room,https://a0.muscache.com/im/pictures/eb2af3ce-1818-46fe-ae90-41025bfbad1b.jpg,15,71508,Sylvain & Alexis,,,True,49.2757,-123.0706,,,1.0,0.0,True,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Breakfast,Long term stays allowed",,False,1.0,Firm,CAD,36.0,0.0,636,4.98,5.0,5.0,5.0,5.0,4.9,5.0,29549,40825,113.7,157.9,0.671,0.803,76.8,106.2,91.9,127.1,245,60,120,365,6017,8263,124.6,171.1,0.511,0.697,64.5,88.5,87.9,120.7,46,24,44,90,Vancouver,Canada,CA,Northern America
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjE5MTM=/original/edb21962-9292-4fff-9cfa-6cd758f37081.jpeg,15,83871,Christine,,,True,49.2344,-123.0531,2.0,1.0,1.0,1.0,True,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Body soap,Conditioner,Bed linens,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Oven,Clothing storage,Stove,Washer,Dryer,Single level home,Smoke alarm,Shower gel,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer,Private entrance,Toaster,Rice maker",False,False,30.0,Strict,CAD,0.0,0.0,238,4.75,4.8,4.9,4.9,4.8,4.5,4.7,3560,4892,71.6,99.9,0.123,0.176,9.8,13.4,13.9,19.1,45,109,320,365,0,0,58.2,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0,63,90,90,Vancouver,Canada,CA,Northern America
33150,“Suite on Main”  near  Q.E Park,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c0a2fe60-25e6-4c4e-9f30-ed649172faeb.jpg,24,143724,⁨Ilana (Ilana)⁩,,,True,49.2468,-123.1048,3.0,1.0,2.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Mosquito net,Clothing storage,TV,Books and reading material,Window guards,Board games,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Firm,CAD,54.0,0.0,178,4.98,5.0,5.0,5.0,5.0,4.9,4.9,38747,53743,125.9,175.1,0.773,0.0,98.5,136.7,0.0,0.0,282,0,83,365,6475,8894,117.6,161.5,0.567,0.0,66.5,91.4,0.0,0.0,51,0,39,90,Vancouver,Canada,CA,Northern America
35102,FURNISHED 2Br + 2Br Yaletown PRIME location!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/8a880349-d524-4f99-84c3-6c719131904c.jpg,23,2283739,Karina,68738,Gail,True,49.2774,-123.1187,4.0,2.0,2.0,2.0,True,"TV,Cable TV,Ping pong table,Wifi,Pool,Kitchen,Free parking on premises,Pool table,Paid parking off premises,Pets allowed,Gym,Conditioner,Elevator,Hot tub,Cleaning products,Indoor fireplace,Heating,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Exercise equipment,Patio or balcony,Luggage dropoff allowed,Cleaning before checkout",,False,30.0,Strict,CAD,,,78,4.7,4.7,4.8,4.7,4.8,4.9,4.5,2525,3468,116.4,162.0,0.055,0.061,6.9,9.5,7.7,10.6,20,38,345,365,1946,2673,128.4,176.4,0.167,0.0,21.6,29.7,0.0,0.0,15,0,75,90,Vancouver,Canada,CA,Northern America
35304,Location! Location! Private Studio on “the Drive”,Entire home,entire_home,https://a0.muscache.com/im/pictures/9540573/028538c9_original.jpg,25,151996,Howie And Lisa,,,True,49.2729,-123.0697,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,TV,Window guards,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Laundromat nearby,Outdoor furniture,Outdoor dining area,Single level home",,False,3.0,Firm,CAD,0.0,14.0,666,4.78,4.8,4.9,4.8,4.9,4.9,4.8,27683,38431,109.3,152.0,0.693,0.0,75.8,105.3,0.0,0.0,253,0,112,365,5632,7732,113.2,155.4,0.556,0.0,62.6,85.9,0.0,0.0,50,0,40,90,Vancouver,Canada,CA,Northern America
73841,Amazing Downtown Vancouver Condo!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4d09315e-ab7c-47c1-bf8c-e51e9564dba1.jpg,13,386761,Ying Ying,,,False,49.2759,-123.1236,4.0,1.0,2.0,1.0,False,"Pets allowed,Smoking allowed,Wifi,Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Portable fans,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Trash compactor,Dining table,Beach access,Patio or balcony,Outdoor furniture,Outdoor dining area,Pool,Hot tub,Sauna,Elevator,Gym,Paid parking off premises,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,30.0,Firm,CAD,,,29,4.79,4.9,5.0,4.6,5.0,5.0,4.8,6115,8743,109.9,153.0,0.151,0.166,16.8,24.0,18.4,26.3,55,33,310,365,297,408,100.2,137.5,0.033,0.0,3.3,4.5,0.0,0.0,3,0,87,90,Vancouver,Canada,CA,Northern America
77157,Room with a Garden View!,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-77157/original/ab66be0a-0518-4a98-bb67-fa4e22e2bdf3.jpg,72,412802,Anne,,,True,49.2452,-123.1654,5.0,1.0,4.0,1.0,True,"Wifi,Pets allowed,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Board games,Portable fans,Heating,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Single level home,Luggage dropoff allowed",,False,2.0,Limited,CAD,53.0,0.0,880,4.82,4.8,4.9,4.8,4.9,4.8,4.8,39977,55522,127.9,177.7,0.767,0.0,99.8,138.7,0.0,0.0,280,0,85,365,6811,9356,120.9,166.1,0.556,0.0,69.8,95.8,0.0,0.0,50,0,40,90,Vancouver,Canada,CA,Northern America
98830,Your Downtown Executive Suite,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/705111/ba74f9d3_original.jpg,30,520997,Cristina,,,False,49.2794,-123.1244,2.0,1.0,1.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Pool table,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Coffee maker,Sauna,Elevator,Gym,Paid parking off premises",,False,30.0,Firm,CAD,0.0,0.0,276,4.88,4.9,4.9,4.8,4.9,5.0,4.8,7594,10428,93.3,130.5,0.208,0.95,20.8,28.6,94.9,130.4,76,285,289,365,0,0,58.1,79.8,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Vancouver,Canada,CA,Northern America
