listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
3943,Historic Rowhouse Near Monuments,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-3943/original/f4e43c2f-e6ef-4ad6-8d5b-b36eabe39a32.jpg,26,5059,Vasa,"271246559,685629628","Srđana,Vera",True,38.912,-77.0046,,,1.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Exercise equipment,Air conditioning,Air conditioning,Ceiling fan,Heating,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Blender,Dining table,Coffee,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,USD,75.0,15.0,563,4.86,4.9,4.9,4.9,4.9,4.6,4.8,32793.0,32793.0,109.4,109.4,0.737,0.805,81.2,81.2,88.8,88.8,269,31,96,365,6231.0,6231.0,120.6,120.6,0.511,0.78,64.2,64.2,98.0,98.0,46,31,44,90,Washington Dc,United States,US,Northern America
4197,Capitol Hill Bedroom walk to Metro,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-4197/original/4c305d3b-f1f5-490d-a867-f265a13957a6.jpeg,46,5061,Sandra,,,True,38.8872,-76.9947,,,1.0,0.0,True,"Bathtub,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Children’s books and toys,Fireplace guards,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Flexible,USD,50.0,0.0,69,4.88,5.0,5.0,4.9,5.0,5.0,4.9,15470.0,15470.0,146.0,146.0,0.271,0.284,40.9,40.9,42.8,42.8,99,16,266,365,601.0,601.0,133.4,133.4,0.044,0.0,6.1,6.1,0.0,0.0,4,0,86,90,Washington Dc,United States,US,Northern America
5589,Cozy apt in Adams Morgan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-5589/original/19c61f85-09b2-44dc-b61f-18ebf0ada39c.jpeg,11,6527,Amiel,,,False,38.9189,-77.0401,3.0,1.0,1.0,1.0,False,"TV,Window guards,Wifi,Air conditioning,Kitchen,Board games,Room-darkening shades,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub",,False,31.0,Firm,USD,,,94,4.5,4.7,4.8,4.1,4.8,4.9,4.4,1557.0,1557.0,89.0,89.0,0.041,0.057,4.3,4.3,5.9,5.9,15,102,350,365,0.0,0.0,96.2,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0,16,90,90,Washington Dc,United States,US,Northern America
11785,Sanctuary near Cathedral,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/553101/23b288d2_original.jpg,19,32015,Teresa,,,True,38.9262,-77.0759,4.0,1.0,3.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Rice maker,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Luggage dropoff allowed,Long term stays allowed",,False,31.0,Firm,USD,,,412,4.59,4.6,4.9,4.6,4.9,4.8,4.6,8048.0,8048.0,103.2,103.2,0.219,0.356,22.0,22.0,35.8,35.8,80,140,285,365,546.0,546.0,114.2,114.2,0.056,0.079,6.1,6.1,8.7,8.7,5,27,85,90,Washington Dc,United States,US,Northern America
12442,Peaches & Cream near Cathedral,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-12442/original/38439952-c7e4-471e-826a-1e77572001ec.jpeg,32,32015,Teresa,,,True,38.9276,-77.0767,,,1.0,0.0,False,"Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Piano,Books and reading material,Fireplace guards,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,31.0,Firm,USD,,,122,4.63,4.7,4.9,4.7,4.8,4.8,4.6,4232.0,4232.0,55.0,55.0,0.208,0.639,11.6,11.6,35.6,35.6,76,246,289,365,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58,90,90,Washington Dc,United States,US,Northern America
14218,Quiet Comfort near Nat'l Cathedral,Private room in home,private_room,https://a0.muscache.com/im/pictures/676472/615f517d_original.jpg,32,32015,Teresa,,,True,38.9267,-77.0769,,,1.0,0.0,False,"Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Piano,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Luggage dropoff allowed,Long term stays allowed",,False,31.0,Firm,USD,,,106,4.62,4.7,4.9,4.6,4.9,4.9,4.7,1488.0,1488.0,56.1,56.1,0.074,0.138,4.1,4.1,7.6,7.6,27,170,338,365,0.0,0.0,58.4,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0,83,90,90,Washington Dc,United States,US,Northern America
17131,The Loft near National Cathedral,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-17131/original/50ad077f-bd95-410e-a447-88bbd0198c93.jpeg,31,32015,Teresa,,,True,38.9264,-77.0765,,,1.0,0.0,False,"Hair dryer,Cleaning products,Hot water,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Piano,Air conditioning,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,31.0,Firm,USD,,,111,4.66,4.6,4.8,4.7,4.9,4.8,4.7,2458.0,2458.0,57.2,57.2,0.118,0.0,6.7,6.7,0.0,0.0,43,0,322,365,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Washington Dc,United States,US,Northern America
32087,Hotel in Dupont Circle Washington DC,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/469b9b1f-2f60-46f1-886f-a9072cf7522b.jpg,8,138459,Lucia,,,False,38.9177,-77.046,,,1.0,0.0,True,"TV,Wifi,Air conditioning,Paid parking off premises,Books and reading material,Ceiling fan,Hot water,Body soap,Breakfast,Mini fridge,Bed linens,Coffee maker,Refrigerator,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub",True,False,1.0,Strict,USD,0.0,0.0,17,4.88,4.9,5.0,4.9,5.0,4.9,4.7,4471.0,4471.0,191.8,191.8,0.071,0.081,12.2,12.2,13.9,13.9,26,44,339,365,866.0,866.0,176.8,176.8,0.056,0.077,9.6,9.6,13.3,13.3,5,25,85,90,Washington Dc,United States,US,Northern America
52092,People's Place 2- Convention Center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-52092/original/df97e267-dc2e-4a6f-a5e9-5f9a71170059.jpeg,42,50148,Adreinne,,,False,38.9077,-77.0243,4.0,2.0,2.0,1.0,False,"TV,Blender,Wifi,Air conditioning,Kitchen,Room-darkening shades,Portable fans,Hot water,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Hangers,Dining table,Dedicated workspace,Freezer,Toaster,Bathtub",False,False,31.0,Firm,USD,,,197,4.35,4.4,4.7,4.5,4.5,4.6,4.5,732.0,732.0,93.4,93.4,0.027,0.119,2.0,2.0,8.7,8.7,10,281,355,365,281.0,281.0,91.2,91.2,0.044,0.114,3.1,3.1,8.0,8.0,4,55,86,90,Washington Dc,United States,US,Northern America
62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY",Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-62122/original/ffe1a59b-b789-4e5c-a8aa-c53c2b022460.jpg,26,301975,Sarah,40859425,Jim Tom,True,38.9224,-77.0471,3.0,2.0,2.0,1.0,True,"Wifi,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,Children’s dinnerware,Air conditioning,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises",,False,5.0,Moderate,USD,50.0,0.0,183,4.87,4.8,4.9,4.7,4.9,5.0,4.9,34305.0,34305.0,109.1,109.1,0.819,0.914,89.3,89.3,99.7,99.7,299,38,66,365,5463.0,5463.0,108.8,108.8,0.544,0.942,59.0,59.0,102.2,102.2,49,38,41,90,Washington Dc,United States,US,Northern America
